الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
المركز الوطني لتنمية الحياة الفطرية,تجهيز جناح المركز الوطني لتنمية الحياة الفطرية في المعرض السعودي الدولي للثروة السمكية,2023-01-30,196190.0
جامعة القصيم,تنفيذ تأهيل مبنى إسكان الطلاب عمارة رقم (6)  والتابعة لجامعة القصيم,2023-04-13,344586.0
المركز الوطني لتنمية الحياة الفطرية,تنظيم وتجهيز احتفالية يوم التأسيس لعام ٢٠٢٣م,2023-02-10,172500.0
جامعة شقراء,توريد وتركيب نظام موحد لإدارة المشاريع التقنية وإدارة الاستراتيجية والمجالس واللجان ,2023-05-03,799250.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب األقفال الميكانيكية بمستشفى الملك فيصل التخصصي ومركز األبحاث )فرع  الرياض( ومركز الملك فهد الوطني,2023-05-22,14850203.0
الهيئة العامة لعقارات الدولة,توريد أطقم مفارش وملحقاتها للمشاعر المقدسة,2023-03-30,782805.0
بلدية محافظة بيشة,صيانة الشوارع - صيانة شوارع حي الخليج ( بلدية محافظة بيشة ) ,2023-06-05,845250.0
بلدية محافظة بيشة,صيانة حديقة الخالدية - مرحلة ثانية ( بلدية محافظة بيشة ),2023-06-13,1161385.0
بلدية محافظة بيشة,صيانة الشوارع -صيانة شوارع مخطط الموسى والطاحسي ( بلدية محافظة بيشة ),2023-07-24,1604250.0
بلدية محافظة بيشة,صيانه الشوارع (صيانه طريق جعفر البرمكي ),2023-07-24,2911340.0
بلدية محافظة بيشة,صيانه أعمدة الاضاءة لأحياء وسط البلد (بلدية محافظة بيشة) ,2023-06-13,1965925.0
بلدية محافظة بيشة,صيانه الشوارع ( صيانه شوارع الحمه) بلدية محافظة بيشة ,2023-06-05,1420250.0
إدارة التعليم بمحافظة النماص,عملية تأهيل مبنى مدرسة ابتدائية الخالدية للطفولة المبكرة ,2023-03-28,1120419.61
