الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
المؤسسة العامة لتحلية المياه المالحة,توريد انابيب وملحقاتها لمحطات المستقبل 60008334,2023-02-18,1955198.03
إدارة التعليم بمحافظة الطائف,صيانة طارئة بعدد من المباني المدرسية بنين وبنات (استبدال بلاط بدل التالف),2023-01-16,648347.0
جامعة بيشة,انشاء مظلات كلية العلوم والاداب للطالبات بالنماص,2023-01-31,529000.0
أمانة محافظة الأحساء,صيانة شبكة الإنارة بمدينتي الهفوف والمبرز والقرى والهجر التابعه لها,2023-06-04,22519673.75
المؤسسة العامة لتحلية المياه المالحة,توريد وتركيب لوحات داخلية للمكاتب والمرافق في مبنى الرئيسي والمجمعات السكنية بالرياض,2023-05-08,348473.0
مدينة الملك عبدالله للطاقة الذرية والمتجددة,تقديم خدمات الحراسات الامنية المدنية لمرافق مدينة الملك عبدالله للطاقة الذرية والمتجددة بالخاصرة,2023-02-07,1149540.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توفير خدمات الغسيل الكلوي لمرضى مستشفى الملك فيصل التخصصي,2023-02-16,4424004.0
أمانة منطقة الرياض,صيانة وانارة الطرق المنقولة من وزارة النقل الى البلديات (الدوادمى – البجادية – نفى- السر),2023-03-08,14699047.01
هيئة كفاءة الإنفاق والمشروعات الحكومية,حصر خدمات الدوائر و شرائح الاتصالات ,2023-01-09,695520.0
وزارة الرياضة,توريد وتركيب وحدات تكييف بالصالات الرياضية بجدة,2023-02-05,9223000.0
وزارة الرياضة,توريد وتركيب وحدات تكييف بالصالات الرياضية بالرياض,2023-02-19,7937604.75
الهيئة السعودية للبيانات والذكاء الاصطناعي,تجديد الرخص لدعم سحابة ديم المرحلة الأولى Deem-SUP,2023-04-11,18596803.15
بلدية تنومة,توريد أعمدة إنارة للشوارع إرتفاع 8 متر (مرحلة ثانية),2022-12-01,3616186.5
بلدية تنومة,توريد أعمدة إنارة للشوارع إرتفاع 8 متر (مرحلة أولى),2022-12-01,3600650.0
جامعة تبوك,منافسة تعديلات داخلية في مباني كلية الشريعة شطري الطلاب والطالبات,2023-02-16,87952.0
جامعة الملك سعود,مشروع تجديد رخص نظام فحص وإغلاق ثغرات الخوادم,2023-03-05,186151.65
وزارة الصناعة والثروة المعدنية,تنظيم وفرز وتصنيف وفهرسة وأرشفة الوثائق,2022-12-12,4450212.5
المركز الوطني لأدارة النفايات,تقديم الخدمات الاستشارية لتحسين الصورة النمطية والحملات الإبداعية للمركز الوطني لإدارة النفايات,2023-05-29,18491195.0
هيئة تطوير منطقة المدينة المنورة,رخص نظام الحماية من الفيروسات,2022-12-12,1443707.7
هيئة الزكاة والدخل,تجديد الدعم الفني ورخص للتطبيقات مع الشركات الام المرحلة الثانية,2023-03-13,14306288.21
وزارة الاقتصاد والتخطيط  -  الديوان العام,تصميم وتطوير موقع الكتروني لوزارة الاقتصاد والتخطيط,2023-02-06,2857467.1
جامعة القصيم,توريد وتركيب عدادات الطاقة الكهربائية بمشروع إسكان أعضاء هيئة التدريس بالمدينة الجامعية ومجمع الكليات الجنوبي,2023-05-13,1062462.0
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,تأسيس خدمات الاتصالات والانترنت,2023-05-03,3430000.0
المديرية العامة للشؤون الصحية بمنطقة جازان,توريد وتجهيز بعض الاحتياجات السكنيه بالمرافق الصحيه,2023-02-28,3221495.0
بنك التصدير والإستيراد السعودي,مشروع الخدمات المدارة للأمن السيبراني,2023-02-08,1434087.95
أمانة منطقة المدينة المنورة,أعمال تأهيل ومعالجة وتمهيد مناطق القطع الصخري بالمدينة المنورة,2023-02-13,23813643.4
وزارة النقل والخدمات اللوجستية-  الديوان العام,إعادة طرح تشغيل وصيانة مبنى الترحيل والمختبر المركزي بالجنادرية لمدة ثلاث سنوات,2023-04-04,1786418.15
بلدية محافظة سراة عبيدة,مشروع تأمين وتوريد أشجار  وبذور  للبلدية  وتكون حسب المواصفات المطلوبة.,2022-11-20,66700.0
ميناء ينبع التجاري,منافسة تشغيل وصيانة ونظافة محطات توليد الطاقة الكهربائية الاحتياطية ومحطات التوزيع الكهربائية بميناء ينبع التجاري,2023-07-09,12727982.72
ميناء ينبع التجاري,منافسة توفير خدمات الصيانة والنظافة بميناء ينبع التجاري,2023-05-28,30190378.87
هيئة الهلال الأحمر السعودي,تنفيذ الأعمال التوعوية والفعاليات ,2023-02-22,1989500.0
الشؤؤن الصحية بمحافظة القنفذة,التغذية المطهية لمستشفى القنفذة العام,2023-07-25,32821339.25
جامعة بيشة,الدعم الفني لمنصة الحقوق والمزايا المالية (صرف) لجامعة بيشة,2023-01-31,772800.0
أمانة منطقة الجوف,معالجة الحفر و التشققات و الأرصفة المتهالكة للطرق و الميادين بمدينة سكاكا نطاق رقم (3),2023-03-08,6960973.0
أمانة منطقة الجوف,معالجة الحفر و التشققات و الأرصفة المتهالكة للطرق و الميادين بمدينة سكاكا نطاق رقم (2),2023-03-08,6768821.8
جامعة الملك خالد,تقديم خدمات الدعم الفني لمنظومة المعلومات الجامعية الاكاديمية,2023-01-05,4000275.0
هيئة الزكاة والدخل,مشروع تأمين وتشغيل نظام تحليل أنظمة المراقبة الأمنية بالمنافذ البرية الشرقية,2023-03-23,14069889.76
المديرية العامة للشؤون الصحية بمنطقة عسير,تأمين ضد الغير على سيارات الشئون الصحية بمنطقة عسير,2023-01-02,322609.5
مدينة الملك عبدالعزيز للعلوم والتقنية,انشاء سور اعلاني على طول مبنى مركز ابحاث التقنية الحيوية بمدينة الملك عبدالعزيز للعلوم والتقنية,2023-02-01,2002713.5
الهيئة العامة للعقار,مشروع تصميم تجربة المستخدم للموقع الإلكتروني وتطويرها ,2023-03-09,849878.09
جامعة الامام محمد بن سعود الاسلامية,مشروع حماية أمن المعلومات المرحلة الأولى,2023-07-17,9997939.0
بلدية محافظة الليث,استئجار سيارات لبلدية  محافظة الليث مع التشغيل والصيانة والتأمين  ,2023-01-04,2545573.88
وزارة الاستثمار,إقامة منتدى ومعرض استثماري سعودي عماني 14-17 ديسمبر 2022م,2023-01-02,3780806.7
وزارة الصناعة والثروة المعدنية,انشاء و تفعيل خدمات الانترنت في مباني وزارة الصناعة والثروة المعدنية - المنطقة الغربية وأبها,2023-01-25,869400.0
المركز الوطني لنظم الموارد الحكومية,مشروع تطوير مصادر جديدة على منصة البيانات,2023-01-09,4967985.01
أمانة منطقة المدينة المنورة,صيانة  و إصلاح السيارات والعربات الكهربائية التابعة  لأمانة منطقة المدينة المنورة بكافة أنواعها  ,2023-01-30,7755025.0
بنك التنمية الاجتماعية,رصد ونشر اثر خدمات البنك المالية والغير مالية ,2023-02-17,14317500.0
بلدية محافظة رابغ,انشاء مبانى عامة ومرافق لبلدية رابغ,2023-02-14,7982673.0
وزارة الموارد البشرية و التنمية الاجتماعية,مشروع تشغيل وصيانة أجهزة البصمة للحضور و الانصراف,2023-01-08,1398400.0
وزارة المالية  -  الديوان العام,مشروع استبدال الزجاج ودهان البراويز للنوافذ والواجهات بمباني الوزارة بمخرج 9 بالرياض,2022-12-21,3857652.0
هيئة الإذاعة والتلفزيون,تطوير وتنفيذ البرامج التدريبيه لمنسوبي هيئة الاذاعة والتلفزيون ,2023-05-23,3026218.1
أمانة منطقة الجوف,معالجة الحفر و التشققات و الارصفة المتهالكة للطرق و الميادين بمدينة سكاكا نطاق رقم (1),2023-03-08,6996259.6
الهيئة السعودية للمواصفات والمقاييس والجودة,تشغيل وصيانة المجمع الرئيسي ومختبرات الهيئة بالمدينة الصناعية الأولى بمدينة الرياض,2023-04-15,11319392.7
أمانة منطقة حائل,استئجار سيارات لبعض الوكالات وإدارات العموم بالأمانة,2023-01-30,2387538.0
جامعة جدة,مشروع ترميم وتأهيل كلية علوم الرياضة بالمقر الرئيسي طالبات,2023-03-29,146682.5
المؤسسة العامة لتحلية المياه المالحة,إعادة تأهيل وتأثيث مبنى 2A في سكن المتدربين بالجبيل,2023-02-09,3105465.75
المركز الوطني للتخصيص,تقديم خدمات النظافة والصيانة والتشغيل لمقر أمانة اللجنة المالية بالديوان الملكي ,2023-01-09,732607.5
وزاة التجارة,مشروع إحلال واستبدال الوحدات الحلقية الكهربائية وملحقاتها بمبنى الوزارة الرئيسي بالرياض,2023-01-30,759842.0
ميناء الجبيل التجاري,منافسة مشروع إستبدال وتطوير شبكة مكافحة الحريق ونظام الإنذار بميناء الجبيل التجاري,2023-06-14,80749999.65
المؤسسة العامة للتدريب التقني والمهني,كراسة صيانة ونظافة الكلية التقنية للبنين والبنات والمعهد الصناعي الثانوي بخميس مشيط  والكلية التقنية للبنين بأحد رفيدة,2023-06-25,4985566.78
المؤسسة العامة للتدريب التقني والمهني, صيانة ونظافة الكلية التقنية للبنين والبنات والمعهد الصناعي الثانوي بمحايل عسير والكلية التقنية للبنين برجال المع والمعهد الصناعي الثانوي بالحريضة ,2023-06-25,5302684.29
جامعة شقراء, منافسة الإشراف على السلامة والصحة المهنية والمخاطر,2023-02-12,2898000.0
المؤسسة العامة للتدريب التقني والمهني,كراسة صيانة ونظافة الكلية التقنية للبنين والبنات بسراة عبيدة والكلية التقنية للبنين بظهران الجنوب وفرع الكلية التقنية بالفرشة,2023-04-05,4271778.63
المؤسسة العامة للتدريب التقني والمهني,إستكمال تأمين أثاث مكتبي و تدريبي لمركز تدريب الكفاءات بالريان,2023-06-21,222055.8
بنك التنمية الاجتماعية,ملتقى خريجين برنامج إمبريتك العالمي ,2023-02-11,697187.5
المديرية العامة للشؤون الصحية بمنطقة جازان,صيانه واحلال وتركيب وحدات تكييف لمستشفى ابو عريش العام,2023-06-26,1902100.0
المركز الوطني لابحاث وتطوير الزراعة المستدامة,مشروع تقديم خدمات الاستضافة لموقع إستدامة الألكتروني بالمركز الوطني لأبحاث وتطوير الزراعة المستدامة							,2023-03-12,400433.45
أمانة منطقة نجران,حدائق وساحات وممرات مشاه (م2),2023-06-04,880959.23
جامعة أم القرى,أعمال التخلص من النفايات الطبية والكيماوية بجامعة أم القرى وفروعها داخل مكة المكرمة,2023-05-11,790855.0
إدارة التعليم بمحافظة الليث,تأمين متطلبات برامج مجمع الأنشطة الطلابية بتعليم الليث,2022-11-20,189175.0
الشئون الصحية بمحافظة جدة,توريد وتركيب وتشغيل وحدات تكييف لغرف العمليات بمستشفى العيون بجدة,2023-04-09,498999.99
وزارة الصحة  -  الديوان العام,مشروع نقل المهام الاشرافيه للقطاع الصحي,2023-03-27,10120000.0
بلدية محافظة سراة عبيدة,صيانة محطة المحروقات بالبلدية وتكون حسب المواصفات المطلوبة.,2022-11-20,286200.5
أمانة منطقة المدينة المنورة,توريد شاحنة رأس تريلا (4×6) لبلدية السويرقية ,2023-04-26,327750.0
جامعة شقراء,منافسة توريد وتجهيز وتركيب أجهزة معامل قسم هندسة الحاسب بكلية الحاسب الآلي بشقراء,2023-05-07,1999620.0
جامعة شقراء,منافسة تشغيل وصيانة أجهزة الكليات بجامعة شقراء,2023-05-07,7327882.8
جامعة شقراء,منافسة إعادة تأهيل معامل الكليات - المرحلة الاولى,2023-05-07,3258797.0
بلدية محافظة خليص,التأمين ضد الغير لسيارات بلدية محافظة خليص ,2023-01-16,41400.0
وزاة التجارة,توريد وتركيب سواري الأعلام والأعمال المكملة لها لعدد (11) فرع من فروع الوزارة في كل من المدينة المنورة وينبع ونجران وجازان والباحة وعنيزة والمجمعة والخرج والدوادمي وحائل والقريات,2023-03-02,313720.0
المديرية العامة للشؤون الصحية بمنطقة جازان,التأثيث الغير طبي لقطاع الرعايه الاوليه بالشمالي,2023-02-28,1206614.5
الهيئة العامة لعقارات الدولة,نظافة وصيانة وتشغيل مجمع الدوائر الحكومية بمنطقة مكة المكرمة/المعابدة ,2023-05-15,10880789.4
المديرية العامة للشؤون الصحية بمنطقة جازان,تجهيز مصاعد مركز السكري ,2023-02-28,494500.0
المديرية العامة للشؤون الصحية بمنطقة عسير, تأمين توابيت لترحيل الموتى بصحة عسير,2023-01-23,196650.0
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة,مشروع توريد وتركيب مظلات على البوابات رقم 1,2023-03-22,543375.0
المديرية العامة للشؤون الصحية بمنطقة عسير,ورش العمل المتخصصة في التحول الصحي بصحة عسير للعام 2022,2023-01-04,80730.0
أمانة منطقة الباحة,تشغيل وصيانة وري الأشجار والمسطحات الخضراء للمحاور بمدينة الباحة-أمانة منطقة الباحة-,2023-05-31,13082255.1
أمانة منطقة حائل,شبكات ري وخطوط النقل - خط ناقل من خزان الصناعية الى خزان طريق القصيم,2023-02-03,2733147.5
بلدية محافظة ظهران الجنوب,تأمين وتوريد بنزين 91- ديزل ,2022-12-08,1736128.32
المديرية العامة للشؤون الصحية بمنطقة عسير,تأمين محروقات لقطاع رجال المع والمناطق النائية ,2023-01-02,2315835.0
بلدية بداء,توضيب وقطع غيار وسائل النقل لصيانة وسائل النقل في بلدية بداء,2022-11-23,33758.25
جامعة الملك سعود,توريد مواد كيميائية سائلة للمستودع المركزي,2023-03-07,252868.21
جامعة الملك سعود,توريد مواد كيمائية صلبة  للمستودع المركزي,2023-06-24,352606.29
وزارة البيئة والمياه والزراعة,تشغيل وصيانة سدود منطقة حائل,2023-02-19,16629000.0
وزارة البيئة والمياه والزراعة,تشغيل وصيانة سدود منطقة الجوف,2023-02-26,7482705.0
بنك التنمية الاجتماعية, خدمات استشارية لتطوير التوظيف,2023-01-06,192000.0
المركز الوطني لابحاث وتطوير الزراعة المستدامة,"		""توريد اجهزه حاسب محمول مع ملحقاتة   ""										",2023-05-18,200100.0
المركز الوطني لابحاث وتطوير الزراعة المستدامة,توريد كراسي ظهر عالي للمكاتب المفتوحة والمغلقة في المركز الوطني لابحاث وتطوير الزراعة المستدامة.,2023-06-22,94735.85
المديرية العامة للشؤون الصحية بمنطقة جازان,صيانة واحلال وتحسين المدخل والبهو الداخلي بمركز التدريب بمستشفى الملك فهد المركزي بجازان,2023-02-28,1469976.0
مجمع الملك سلمان العالمي للغة العربية,توريد أجهزة حاسب آلي محمول ,2023-01-22,733125.0
وزارة الرياضة,التأمين الإلزامي لمركبات وزارة الرياضة ,2023-01-23,47265.0
المؤسسة العامة لتحلية المياه المالحة,ازالة وتركيب العوازل والأسمنت الحراري داخل وخارج الغلايات والتوربينات وخطوط البخار بمنظومة انتاج الجبيل ,2023-04-14,228096.0
بلدية محافظة المجاردة,تنفيذ مضلات لمرافق البلدية ,2023-03-27,260072.5
بلدية محافظة المجاردة,تنفيذ عبارات ومجاري مائية ,2023-03-27,385825.0
هيئة الزكاة والدخل,مشروع تأمين أجهزة مساندة بالتفتيش وسرعة الفحص,2023-01-31,13881939.8
المؤسسة العامة للتدريب التقني والمهني,صيانة ونظافة الإدارة العامة للتدريب التقني والمهني والكلية التقنية للبنين والبنات والمعهد الصناعي بحائل والكلية التقنية للبنين ببقعاء والشنان,2023-06-25,7473649.17
المؤسسة العامة للتدريب التقني والمهني, صيانة ونظافة الكلية التقنية للبنين بالحائط,2023-04-05,1589573.7
مؤسسة البريد السعودي, تطبيق نظام تقييم أداء الموظفين,2023-02-16,2498224.48
أمانة منطقة الرياض,توريد وتركيب الانارة التجميلية نفق طريق الملك فهد تقاطع طريق العروبة,2023-03-05,2671737.5
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,توريد و توفير أجهزة الحاسب الآلي وملحقاتها للكليات والمعاهد والمدارس بالجبيل,2023-06-08,3127858.95
جامعة حائل,تأمين 160حافلة لنقل طالبات جامعة حائل من القرى والمحافظات واحياء مدينة حائل لمدة ثلاث سنوات.,2023-06-05,41124000.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث, صيانة أجهزة طبية مختلفة,2023-03-07,3830740.0
بلدية الشبحة,توريد مواد حدادة لبلدية الشبحة,2022-11-17,31487.0
المؤسسة العامة للتدريب التقني والمهني,نظافة الكلية التقنية للبنين بالقريات,2023-04-05,820267.5
المؤسسة العامة للتدريب التقني والمهني,صيانة ونظافة المعهد الصناعي الثانوي بالقريات,2023-04-05,1397163.4
وزارة الطاقة,تجديد الدعم والصيانة لمركز بيانات وزارة الطاقة بالرياض لعام 2022,2023-01-08,845250.0
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة,تقديم خدمات نقل المرضى بسيارات الإسعاف المسنده لجهات خارجية بمستشفى الملك فيصل التخصصي ومركز الأبحاث - فرع جدة.,2023-03-22,893412.0
وزارة البيئة والمياه والزراعة,توريد وتركيب مولدات بفرع الوزارة بالمنطقة الشرقية و الجهات التابعة له,2023-03-29,1265000.0
المركز السعودى لكفاءة الطاقة,مشروع خدمات  الامن والسلامة,2022-11-30,1624204.8
مركز برنامج جودة الحياة,تقديم وتجديد اشتراكات رخص أنظمة وخدمات تقنية المعلومات,2022-12-11,2968282.25
بلدية بداء,ايجار سيارات لمراقبة المشاريع والخدمات للمراكز التابعة لبلدية بداء,2022-11-26,258750.0
وزارة البيئة والمياه والزراعة,توريد اجهزه استغاثة لقوارب صيد مبادرة توطين مهنة صيد الأسماك بالمملكة,2023-05-22,524020.5
وزارة البيئة والمياه والزراعة,تشغيل وصيانة ونظافة سد حلي بمنطقة مكة المكرمة,2023-05-27,18516092.5
هيئة تطوير منطقة عسير,تهيئة وتنفيذ أعمال توسعة المقر الحالي للهيئة,2022-12-15,1499989.08
المركز الوطني لأدارة النفايات,منافسة مشروع خدمات استشارية مالية لطرح مشروع تطوير وإدارة المنصة الوطنية لإدارة النفايات,2023-04-03,4981541.25
المركز الوطني لأدارة النفايات,منافسة مشروع خدمات استشارية قانونية لطرح مشروع تطوير وإدارة المنصة الوطنية لإدارة النفايات,2023-04-03,284510.0
أمانة العاصمة المقدسة,ترميم مبنى إدارة المستودعات والمستودعات التابعة لها,2023-02-14,6719162.5
الهيئة الملكية للجبيل وينبع - الرئاسة,تقديم الخدمات الاستشارية والمساندة للهيئة الملكية للجبيل وينبع لتطبيق أساس الاستحقاق المحاسبي بمدن الهيئة الملكية.,2023-03-05,5996100.0
أمانة محافظة جدة,"سفلتة مخططات المنح في نطاق بلدية طيبة الفرعية ""المرحلة الثانية _ 16980",2023-01-24,8037994.0
أمانة محافظة جدة,"سفلتة مخططات المنح في نطاق بلدية ذهبان الفرعية ""المرحلة الثانية _16979",2023-01-08,8144898.0
ميناء الجبيل التجاري,منافسة صيانة خزان المياه الرئيسي بالحي السكني كيلو عشرة بميناء الجبيل التجاري,2023-05-30,345000.0
هيئة الهلال الأحمر السعودي, تنفيذ حملة إعلامية (لا تكن السبب),2023-02-19,499962.5
ميناء الجبيل التجاري,منافسة مشروع أعمال صيانة وإنشاء جدار بمستودع رصيف رقم (4) بميناء الجبيل التجاري,2023-05-22,287500.0
الهيئة العامة لعقارات الدولة,توريد احبار طابعة,2023-03-07,105984.0
الهيئة السعودية للمواصفات والمقاييس والجودة,الدعم الفني لنظام المختبرات LIMS - المرحلة الخامسة,2023-04-05,1604272.08
المؤسسة العامة لتحلية المياه المالحة,توريد مواد كهربائية لمنظومة رأس الخير محطات المستقبل  المستقبل 60008253,2023-06-29,142180.0
بلدية القوز(القنفذة),صيانة مظلات مواقف السيارات بمبنى البلدية .,2023-02-28,807300.0
وزارة النقل والخدمات اللوجستية-  الديوان العام,الأعمال المتبقية لمشروع تنفيذ الطرق الزراعية بمنطقة جازان (المجموعة السادسة),2023-04-09,15658857.7
بلدية محافظة القطيف,مشروع صيانة شوارع مدينة تاروت بمحافظة القطيف للأعوام 1444ــ1447 هـ (المرحلة الثانية),2023-03-01,6487092.5
بلدية محافظة القطيف,مشروع صيانة شوارع مدينة عنك بمحافظة القطيف للأعوام 1444ــ1447 هـ (المرحلة الثانية),2023-01-24,3744342.5
المركز الوطني لتنمية الحياة الفطرية,تنظيم وتجهيز ورشة عمل إدارة ظواهر تفشي نجم البحر ذو التاج الشوكي في المملكة العربية السعودية,2022-11-30,172159.6
جامعة الباحة,تشغيل وصيانة وسائل السلامة بمباني جامعة الباحة,2023-01-19,4700000.0
الهيئة العامة للإحصاء,تقديم الخدمات المدارة لتقنية المعلومات لمدة سنتين,2023-02-20,23791200.0
بنك التصدير والإستيراد السعودي,توفير خدمات الاتصال بالانترنت ودوائر الاتصال المباشر ,2023-02-26,464135.68
وزارة الموارد البشرية و التنمية الاجتماعية,مشروع تقديم خدمات الواتساب لدى وزارة الموارد البشرية والتنمية الاجتماعية ,2023-01-11,895316.4
أمانة العاصمة المقدسة,تأثيث مراكز الخدمات بالمشاعر المقدسة الخاصة بأعمال الحج بنظام الايجار,2023-01-18,1999965.0
هيئة الزكاة والدخل,تأمين أنظمة البوابات الأمنية للمنافذ البرية الشمالية ( الدرة – حالة عمار – الحديثة – جديدة عرعر).,2023-02-12,23648746.05
هيئة الزكاة والدخل, تأمين أنظمة البوابات الأمنية للمنافذ البرية الشرقية ( الخفجي – الوديعة – الميناء الجاف),2023-02-10,11631615.2
الشئون الصحية بمحافظة جدة,توريد المستهلكات والمستلزمات لنفايات الرعاية الصحية الخطرة,2023-05-22,18574686.35
الشئون الصحية بمنطقة مكة المكرمة,نقل النفايات الطبية الصادرة عن المنشآت الصحية الخطرة بمكة المكرمة لعام 1444هـ,2023-01-12,829177.3
الشئون الصحية بمنطقة مكة المكرمة,الرفوعات المساحية وتبتير الأراضي الفضاء لممتلكات الوزارة بصحة منطقة مكة المكرمة لعام 1444هـ ,2023-01-17,330050.0
الشئون الصحية بمنطقة مكة المكرمة,إعادة عزل اسطح إدارة الطوارئ والأزمات بصحة مكة المكرمة بالكعكية لعام 1444هـ ,2023-01-05,98095.0
وزارة المالية  -  الديوان العام,توريد أظرف متعددة المقاسات خاصة بالديوان الملكي لمصلحة مطابع الحكومة,2022-12-22,263883.83
صندوق التنمية السياحي,أتمتة العمليات الروبوتية,2023-01-10,1190250.0
هيئة الهلال الأحمر السعودي,تجهيز وتنظيم الدورة الـ (5) للاجتماع التشاوري بين اللجنة الإسلامية للهلال الدولي والجمعيات الوطنية للهلال الأحمر والصليب الأحمر في دول منظمة التعاون الإسلامي,2023-03-28,2969409.25
وزارة التعليم, تشغيل وصيانة وزراعة المباني الإدارية والتعليمية بمعهد العاصمة النموذجي بالرياض,2023-03-10,2126148.75
بلدية محافظة الجبيل,مشروع تطوير وإعادة تأهيل شارع القطيف بالمنطقة المركزية بمحافظة الجبيل (الجزء الثاني) ,2023-03-29,4059258.5
أمانة منطقة الباحة,عملية تأمين وتوريد ادوات كهربائية لصالح بلدية محافظة قلوة ,2022-12-14,199778.0
بلدية محافظة سراة عبيدة,تأمين وتوريد إحتياجات لمستودع الكهرباء لبلدية محافظة سراة عبيدة وتكون حسب المواصفات المطلوبة.,2022-11-10,272113.0
بلدية محافظة سراة عبيدة,تأمين وتوريد دهنات للبلدولرات الأرصفة لبلدية محافظة سراة عبيدة وتكون حسب المواصفات المطلوبة.,2022-11-10,118093.5
هيئة تطوير محافظة جدة,مشروع تنفيذ نظام الدليل النشط على المنصة السحابية الخاصة بمكتب إدارة مشاريع محافظة جده (المرحلة الثانية).,2023-02-15,868578.0
وزارة البيئة والمياه والزراعة,توريد وتركيب كاميرات مراقبة للوحدة البحثية بوادي بن هشبل,2023-03-07,474766.0
أمانة محافظة الأحساء,سفلتة وأرصفة وإنارة للأمانة والبلديات والقرى التابعة (تنفيذ دائري وسط مدينة الهفوف),2023-07-23,16770289.6
المؤسسة العامة لتحلية المياه المالحة,صيانة ودهان الهيكل الحديدي للمرسى البحري الجديد بمنظومة انتاج الشعيبة,2023-02-01,1033677.5
هيئة كفاءة الإنفاق والمشروعات الحكومية,دعم الإنشطة الداخلية لهيئة كفاءة الإنفاق والمشروعات الحكومية,2023-02-02,2279070.0
وزارة الرياضة,تأسيس وتنفيذ نظام اتمته اعمال المراجعة الداخلية – وزارة الرياضة ,2023-02-05,654195.9
وزارة الرياضة,توفير وتجديد تراخيص مايكروسوفت – وزارة الرياضة ,2023-02-19,13604869.48
وزارة الرياضة,تقديم خدمات الدعم الفني الموحد لمنتجات شركة مايكروسوفت – وزارة الرياضة ,2023-01-31,4810831.4
أمانة محافظة الأحساء,استكمال اعمال السلامة المرورية بالطرق الرئيسية بمدينة الهفوف-2023,2022-12-01,4073932.5
وزارة الموارد البشرية و التنمية الاجتماعية,توفير مراكز لإيواء العاملات المنزليات المتغيبات ورافضات العمل,2023-01-19,24564000.0
إدارة التعليم بمحافظة عفيف,صيانة وإصلاح وتشغيل أجهزة التبريد والتكييف والتدفئة وبرادات المياه للمباني المدرسية المجموعة الثانية (بنين – بنات) خارج المحافظة بإدارة التعليم محافظة عفيف ,2023-04-26,1650825.0
بلدية محافظة سراة عبيدة,تأمين وتوريد دهانات- جرفيت للواجهات الخارجية لمباني البلدية  الرئيسي والخدمات وتكون حسب المواصفات المطلوبة.,2022-11-10,83145.0
بلدية بارق,مشروع صيانة وحماية الطرق والشوراع والميادين ضمن خطة معالجة التشوه البصري ,2023-04-26,2300000.0
المركز الوطني لأدارة النفايات,منافسة مشروع دراسة نفايات المسالخ والمجازر وإعداد المخطط الشامل لإدارة نفايات المسالخ والمجازر  بجميع فئاتها,2023-05-29,11450000.0
بلدية محافظة القطيف,مشروع صيانة شوارع مدينة صفوى بمحافظة القطيف للأعوام 1444ــ1447 هـ (المرحلة الثانية),2023-03-01,3789549.0
صندوق تنمية الموارد البشرية, توريد و تركيب نظام عدم انقطاع الامداد بالقوى الكهربائية (UPS) ,2023-01-12,853198.8
بلدية محافظة القطيف,مشروع صيانة شوارع مدينة سيهات بمحافظة القطيف للأعوام 1444ــ1447 هـ (المرحلة الثانية),2023-03-01,6068262.5
بلدية محافظة القطيف,مشروع صيانة شوارع مدينة القطيف بمحافظة القطيف للأعوام 1444ــ1447 هـ (المرحلة الثانية),2023-03-13,13289733.5
بلدية محافظة سراة عبيدة,تأمين وتوريد ملابس لعمال النظافة وعمال البلدية  وتكون حسب المواصفات المطلوبة.,2022-11-10,124878.5
بلدية محافظة سراة عبيدة,تأمين وتوريد كفرات للمعدات البلدية وتكون حسب المواصفات المطلوبة.,2022-11-10,163530.0
بلدية محافظة سراة عبيدة,تأمين وتوريد زيوت للمعدات وسيارات البلدية وتكون حسب المواصفات المطلوبة.,2022-11-10,152375.0
بلدية محافظة خليص,صيانة وإعادة تأهيل الطرق الرابطة التابعة لبلدية محافظة خليص,2023-02-08,1853340.0
جامعة الملك خالد,توريد مياه الري للمدينة الجامعية في الفرعاء ,2023-01-15,951530.0
بلدية محافظة سراة عبيدة,توريد وتأمين أكياس نفايات للبلدية وتكون حسب المواصفات المطلوبة ,2022-11-28,186550.0
بلدية محافظة سراة عبيدة,تأمين وتوريد حاويات حديد وتكون حسب المواصفات المطلوبة ,2022-11-16,229770.0
بلدية محافظة سراة عبيدة,تأمين وتوريد بلاط أرصفة لبلدية سراة عبيدة وتكون حسب المواصفات المطلوبة ,2022-11-16,139200.0
بلدية محافظة سراة عبيدة,تأمين وتوريد كشافات إنارة بشوارع بلدية محافظة سراة عبيدة وتكون حسب المواصفات المطلوبة ,2022-11-10,156400.0
جامعة القصيم,منافسة تنفيذ أعمال العزل المائي لمباني عمادة الخدمات التعليمية  (والتابعة لجامعة القصيم),2022-12-20,470062.5
جامعة الأميرة نورة بنت عبدالرحمن,توريد كفرات وبطاريات وزيوت لسيارات وعربات قولف جامعة الأميرة نورة بنت عبد الرحمن,2022-12-21,360364.0
المركز الوطني للرقابه على الالتزام البيئي,تأمين أجهزة حاسب محمول,2023-01-18,150592.5
إدارة التعليم بمحافظة محايل عسير,صيانة وإصلاح وتشغيل أجهزة التبريد والتكييف والتدفئة للمباني الادارية قطاع محايل,2023-05-03,1651860.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,تطوير نظام النسخ الاحتياطي,2023-03-14,6839999.9
