الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
أمانة محافظة جدة,تدقيق قاعدة البيانات الجغرافية للكروكيات التنظيمية المرحلة الرابعة16816,2022-04-30,3975044.0
هيئة الإذاعة والتلفزيون,تأمين اجهزة خاصة للمنصة الرقمية لهيئة الاذاعة والتلفزيون ,2022-03-11,426829.99
هيئة الإذاعة والتلفزيون,توريد وتركيب اجهزة مونتاج لاخطي مع كامل ملحقاتها بادارة الاعلان التجاري ,2022-05-11,565915.0
صندوق تنمية الموارد البشرية,تطوير ودعم أنظمة ادارة التكامل ,2022-05-15,6765550.05
الهيئة السعودية للبيانات والذكاء الاصطناعي,مشروع تراخيص مايكروسوفت (MSLP 3),2022-05-17,184516665.62
وزارة الإعلام - الديوان العام,ضوابط تنظيم استخدام وسائل التواصل الاجتماعي في الأجهزة الحكومية,2022-04-14,950000.0
المؤسسة العامة لتحلية المياه المالحة,توريد بيت كهربائي لمحطات المستقبل 60004546,2022-10-06,3972301.0
المؤسسة العامة لتحلية المياه المالحة,توريد مولد كهربائي لمحطات المستقبل 60004544,2022-05-24,1245000.0
وزارة المالية  -  الديوان العام,مشروع تقديم خدمات الإبداع والتصاميم المبتكرة   ,2022-03-22,2415000.0
أمانة منطقة تبوك,توريد خرسانة عادية 250 كجم,2022-02-09,281989.2
بلدية مليجة,منافسة صيانة بعض الشوارع بمليجة ,2022-04-18,700177.5
أمانة منطقة الباحة,صيانة دوار العلم ,2022-03-20,217752.5
المؤسسة العامة لتحلية المياه المالحة,توريد بيت كهربائي لمحطات المستقبل 60004542,2022-10-06,4345400.0
وزارة الرياضة,استبدال أرضية الصالة المطاطيبة بالصالة الرياضية لأندية الخليج والنهضة والقادسية,2022-08-24,1431120.95
أمانة محافظة الطائف,صيانة ونظافة وري منتزه الردف لمدة 1095 يوم,2022-10-24,19461933.0
مدينة الملك فهد الطبية,منافسة مشروع تشغيل وصيانة البنية التحتية لأنظمة تقنية المعلومات في مدينة الملك فهد الطبية,2022-10-24,99658182.69
مستشفى الملك فيصل التخصصي ومركز الأبحاث,مشروع آلات البيع العكسي لجمع العلب البلاستيكية والمعدنية القابلة لإعادة التدوير,2022-07-27,660000.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد وتركيب أجهزة قاعة متعدد الأغراض بمبنى الكلية الجامعية,2022-06-09,340730.05
المؤسسة العامة لتحلية المياه المالحة,توريد كيابل كهربائية لمحطات التحلية ( المستقبل ) بالجبيل 60004525,2022-06-29,1404459.04
وزارة الموارد البشرية و التنمية الاجتماعية,إدارة الوظائف المستثناة,2022-03-09,5851189.5
برنامج الخدمات الصحيه بالهيئة الملكية بالجبيل,تطوير نظام قفل و تأمين البوابات,2022-08-10,640701.8
وزارة البيئة والمياه والزراعة,توريد وتركيب نظام التهوية والتكييف لمستودعات الوزارة,2022-04-05,829092.5
أمانة منطقة الحدود الشمالية,مشروع صيانة طريق الملك فهد (مدخل المطار)  ,2022-04-14,1292355.05
جامعة القصيم,تنفيذ مبنى القاعات الدراسية بكلية الطب بعنيزة بجامعة القصيم,2022-11-29,6337826.53
بلدية محافظة البكيرية,عملية استئجار السيارات لبلدية محافظة البكيرية بدون سائق و وقود,2022-02-24,899208.0
جامعة الملك عبدالعزيز,توريد وتركيب أجهزة وبرامج معلومات وصور الأشعة بالمستشفي الجامعي ,2022-08-18,9996315.0
جامعة تبوك,مشروع التشغيل والتصميم للمحتوى التعليمي الإلكتروني لمقررات جامعة تبوك لمدة عام ,2022-03-11,2464668.96
أمانة منطقة الباحة,صيانة طرق بمركز وراخ ,2022-03-20,297780.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد إطارات سيارات,2022-04-12,173259.0
وزاة التجارة,تصاميم ومحتوى لمنصات التواصل الاجتماعي,2022-06-23,94875.0
جامعة بيشة,توريد وتركيب معامل بنشات وملحقاتها بجامعة بيشة وفروعها,2022-03-21,1752600.0
وزارة البيئة والمياه والزراعة,ترميم مستودعات فرع الوزارة بالحدود الشمالية,2022-07-06,500031.5
وزارة النقل والخدمات اللوجستية-  الديوان العام,الأعمال المتبقية لمشروع الأعمال الإضافية لمبنى إدارة الطرق والنقل بمنطقة جازان,2023-03-20,1095904.0
بلدية محافظة النبهانية,توريد وتنفيذ طبقة من الاسفلت 2 سم لبلدية محافظة النبهانية ,2022-02-07,999997.45
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد مواد نظافة ,2022-04-12,284992.86
جامعة الأمير سطام بن عبدالعزيز,تأمين المحروقات للمركبات الجامعية,2022-02-15,662500.0
الجامعة السعودية الالكترونية,عقد الحراسات الأمنية بالجامعة و فروعها الرياض – الدمام – الاحساء,2022-04-03,10580662.4
بلدية بحرأبو سكينة,صيانة الطرق والسلامة والمرورية ,2022-03-15,2499295.0
جامعة الأمير سطام بن عبدالعزيز,تشغيل وصيانة نظام الخدمات والبوابة الإلكترونية,2022-05-17,6394752.0
بلدية محافظة رابغ,صيانة وتحسين وتطوير أحياء المحور الجنوب الغربي لمحافظة رابغ,2022-04-29,1531406.7
بلدية محافظة رابغ,صيانة وتحسين وتطوير أحياء المحور الشمالي الغربي لمحافظة رابغ ,2022-04-29,1760650.0
امانة محافظة حفر الباطن,توريد مستلزمات حدائق لأمانة حفر الباطن,2022-04-03,3677585.0
