Name,Description,Date,Amount
وزارة الصحة,مشروع تطوير غرفة خلط المحاليل الوريدية بمستشفى الخفجي العام ,2024-01-09,1150000.0
وزارة الشؤون البلدية والقروية,تأهيل وتطوير حدائق الودي مرحلة ثانية.,2023-11-30,4681017.5
وزارة الشؤون البلدية والقروية,تأهيل وتطوير حدائق الودي مرحلة ثانية.,2023-11-30,4681017.5
هيئة الهلال الأحمر السعودي,توريد وتركيب وتشغيل أجهزة تترا لمنطقة حائل والجوف والحدود الشمالية,2023-11-14,2961825.0
وزارة الشؤون البلدية والقروية,تأهيل وتطوير حدائق الشبيلي والنقرة.,2023-11-27,4497765.0
وزارة الشؤون البلدية والقروية,تأهيل وتطوير حدائق الشبيلي والنقرة.,2023-11-27,4497765.0
وزارة الصحة,توريد مقابض ساندة للاحتياجات الخاصة لزوم برج مستشفى بريدة المركزي,2023-12-17,618792.0
وزارة الإعلام,توريد جهاز خاص بالرسم ,2023-10-29,15405.98
وزارة النقل,تصميم وطباعة التقرير السنوي لوزارة النقل والخدمات اللوجستية,2023-12-12,483575.0
وزارة النقل,تصميم وطباعة التقرير السنوي لوزارة النقل والخدمات اللوجستية,2023-12-12,483575.0
وزارة النقل,تصميم وطباعة التقرير السنوي لوزارة النقل والخدمات اللوجستية,2023-12-12,483575.0
وزارة النقل,تصميم وطباعة التقرير السنوي لوزارة النقل والخدمات اللوجستية,2023-12-12,483575.0
وزارة التجارة ,تشغيل وصيانة ونظافة مباني فروع الوزارة في كل من نجران وجيزان والباحة ونظافة وصيانة مباني فروع ومكاتب الوزارة في كل من أبها وبيشة وشروره والنماص وحبونا ,2024-01-31,12206314.59
وزارة التجارة ,تشغيل وصيانة ونظافة مباني فروع الوزارة في كل من نجران وجيزان والباحة ونظافة وصيانة مباني فروع ومكاتب الوزارة في كل من أبها وبيشة وشروره والنماص وحبونا ,2024-01-31,12206314.59
وزارة التجارة ,تشغيل وصيانة ونظافة مباني فروع الوزارة في كل من نجران وجيزان والباحة ونظافة وصيانة مباني فروع ومكاتب الوزارة في كل من أبها وبيشة وشروره والنماص وحبونا ,2024-01-31,12206314.59
وزارة التجارة ,تشغيل وصيانة ونظافة مباني فروع الوزارة في كل من نجران وجيزان والباحة ونظافة وصيانة مباني فروع ومكاتب الوزارة في كل من أبها وبيشة وشروره والنماص وحبونا ,2024-01-31,12206314.59
وزارة التجارة ,تشغيل وصيانة ونظافة مباني فروع الوزارة في كل من نجران وجيزان والباحة ونظافة وصيانة مباني فروع ومكاتب الوزارة في كل من أبها وبيشة وشروره والنماص وحبونا ,2024-01-31,12206314.59
وزارة الموارد البشرية والتنمية الاجتماعية,مشروع تأمين وتوريد وتركيب مولد كهربائي احتياطي لمبنى الضمان الاجتماعي بمحافظة النماص بمنطقة عسير,2023-12-24,125741.0
وزارة التجارة ,تجديد البرامج والخدمات الالكترونية الخارجية ,2023-11-01,4398097.95
وزارة التجارة ,تجديد البرامج والخدمات الالكترونية الخارجية ,2023-11-01,4398097.95
وزارة التجارة ,تجديد البرامج والخدمات الالكترونية الداخلية ,2023-11-13,2491215.82
وزارة التجارة ,تجديد البرامج والخدمات الالكترونية الداخلية ,2023-11-13,2491215.82
البيئة والمياه والزراعة,توريد ديزل وبنرزين لمنظومة راس الخير 60012489,2023-11-09,186875.0
