الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بالجوف (مخصص للمنشآت الصغيرة والمتوسطة المحلية ),2021-07-26,300017.52
وزارة الموارد البشرية و التنمية الاجتماعية,مشروع تفعيل مركز الاتصال لبرنامج حساب المواطن,2021-08-04,24500000.0
الهيئة العامة للغذاء والدواء,تأمين احتياج اقسام الاحياء الدقيقة في مختبرات قطاع الغذاء من البيئات,2021-08-22,867708.61
وزارة البيئة والمياه والزراعة,عملية معالجة الطفح لمياه الصرف الصحي بمحافظة تنومة – مرحلة أولى,2021-04-20,2985515.0
إدارة التعليم بمحافظة المخواة,عملية نظافة المباني الإدارية بإدارة التعليم بمحافظة المخواة,2021-05-23,3361928.4
إدارة التعليم بمحافظة القريات,نظافة المباني المدرسية المجموعة الثانية بنين ,2021-09-16,6038405.51
الهيئة العامة لعقارات الدولة,مشروع التأمين الطبي لمنسوبي الهيئة العامة لعقارات الدولة ,2021-08-25,17594736.08
وزارة المالية  -  الديوان العام,عملية توريد وتركيب وتشغيل وحدات تكييف لفروع الوزارة بمنطقة الجوف ومصلحة مطابع الحكومة وغرف استلام الأمن ومركز الوثائق والمحفوظات بالرياض,2021-11-25,807875.0
الهيئة العامة للأمن الغذائي,مشروع تأسيس وتشغيل مكتب البنية المؤسسية وتحقيق متطلبات التحول الرقمي,2021-10-25,778895.05
هيئة الهلال الأحمر السعودي,توريد محروقات,2021-03-14,9000000.0
المديرية العامة للشؤون الصحية بمنطقة المدينة المنورة,التغذية المطهية لمستشفى الأمير عبدالمحسن بالعلا بمنطقة المدينة المنورة,2022-12-18,19688220.0
أمانة منطقة الرياض,نظافة مبنى مكتب تنسيق مشاريع المدينة والمرافق التابعة له ,2021-10-18,2988938.67
وزارة الاسكان,تأمين نظام آلي مركزي لادارة الاصول الثابته,2021-08-17,158769.0
برنامج الخدمات الصحيه بالهيئة الملكية بالجبيل,توريد مسبار تخطيط صدى القلب عبر المريء,2021-09-17,128000.0
برنامج الخدمات الصحيه بالهيئة الملكية بالجبيل,اتلاف مخلفات المواد الطبية والصيدلانية ,2021-09-17,165600.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,إنشاء الطرق و المنافع غرب طريق الملك عبدالعزيز - المرحلة الأولى,2021-11-08,18779390.19
وزارة الموارد البشرية و التنمية الاجتماعية,مشروع دعم العمليات التشغيلية والدعم التقني لبرنامج حساب المواطن,2021-08-04,16994700.0
أمانة منطقة القصيم,مشروع  تشغيل وصيانة المزروعات والحدائق في نطاق شمال مدينة بريدة,2021-07-29,27995168.75
وزارة البيئة والمياه والزراعة,عملية معالجة الطفح لمياه الصرف الصحي بأحياء متفرقة بمحافظة ظهران الجنوب – مرحلة خامسة,2021-04-20,1931568.75
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تقديم خدمات الرسائل النصية القصيرة ,2021-04-21,2806978.25
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع, إنشاء التجهيزات الأساسية بحي النخيل 2 و 6 و العيون 2,2021-09-21,8067899.75
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,مشروع توريد وتركيب وحدات تكيف  لمستودعات الكلية الجامعية بنين,2021-06-03,392127.0
وزارة الطاقة,تقديم الرعاية الصحية والمنافع لبرنامج النفقات التشغيلية,2021-04-12,20280284.5
إدارة التعليم بمحافظة المخواة,عملية صيانة وإصلاح وتشغيل المباني المدرسية بإدارة التعليم بمحافظة المخواة (قطاع قلوة والحجرة ),2022-04-07,5425366.5
الشؤؤن الصحية بمحافظة القنفذة,منافسة التغذية بمستشفى المظيلف العام,2021-09-05,12569413.75
