الجهة الرئيسية,تاريخ الإنشاء,اسم المنافسة,قيمة الترسية بالريال 
هيئة تطوير منطقة المدينة المنورة,"1 January, 2025",تقييم منافع الموظفين بهيئة تطوير منطقة المدينة المنورة بالطريقة الاكتوارية للعام المالي 2024م,13800.0
وزارة البلديات والإسكان,"1 January, 2025",توريد لوحات وبنرات لبلدية الدليميه,489000.0
وزارة التعليم,2025-01-01 00:00:00,تنفيذ سور معدني على محيط كلية الهندسة فرع الطالبات بعنيزة,54993.0
وزارة التعليم,"1 January, 2025",تأمين مطبوعات للمدينة الطبية ,99900.5
وزارة التعليم,"1 January, 2025",تأمين فرش لمخيم الجامعة لزوم إدارة العلاقات العامة ,35000.02
وزارة التعليم,"1 January, 2025",توريد قطع غيار لمركز صيانة سيارات الجامعة ,98992.0
وزارة التعليم,"1 January, 2025",فك ونقل وتركيب معملين من مبنى الطالبات رقم 25 الى مبنى الكلية الجديد لزوم كلية الصيدلة ,99360.0
وزارة العمل والتنمية الاجتماعية,"1 January, 2025",تشغيل الحراسات الأمنية بمنطقة حائل للمنشآت التدريبية والادارية بـ (الكلية التقنية للسياحة والفندقة بحائل),763680.96
وزارة التعليم,"1 January, 2025",توريد تجهيزات مكتبية وتعليمية لزوم كلية اللغات والعلوم الانسانية ,0.0
وزارة العمل والتنمية الاجتماعية,"1 January, 2025",تشغيل الحراسات الأمنية بمنطقة نجران للمنشآت التدريبية والادارية بـ (الكلية التقنية للبنات بشروره),974804.4
وزارة البلديات والإسكان,"1 January, 2025",تأمين صبة خرسانية 350 مقاوم مع اعمال المروحة لبلدية محافظة رياض الخبراء.,498332.49
وزارة البلديات والإسكان,"1 January, 2025",تأمين وجبة غداء لعدد25 شخص,15799.99
وزارة البلديات والإسكان,"1 January, 2025",عملية توريد دهانات لزوم مركز بئر عسكر ومركز عاكفة,96370.0
وزارة البلديات والإسكان,"1 January, 2025",صيانة وبرمجة كاميرات البلدية والمرافق التابعة لها لبدية محافظة رياض الخبراء.,497688.95
المؤسسة العامة للموانئ,"1 January, 2025",تغذية محطة الوقود بميناء الملك فهد الصناعي بالجبيل,43400.0
وزارة البلديات والإسكان,"1 January, 2025",تامين بشت 7 الوان للمشرف العام على مكتب الامين ,29997.75
وزارة البلديات والإسكان,"1 January, 2025",تأمين خيام ومسارح لمهرجان ربيع النعيرية 1446هـ,458500.0
وزارة التعليم,"1 January, 2025",مراجعة الحساب الختامي للسنة المالية (2024م),33350.0
وزارة البلديات والإسكان,"1 January, 2025",صيانة الكراسي والمظلات بالساحات (بلدية محافظة صامطة),99475.0
وزارة المالية,"1 January, 2025",تشغيل وصيانة أنظمة فحص الحاويات والمركبات بالأشعة السينية - المرحلة الثانية ,22200750.0
وزارة البلديات والإسكان,"1 January, 2025",توريد وتركيب مستلزمات إحتفالية يوم التأسيس لعام 1446هـ ,1406738.65
وزارة البلديات والإسكان,"1 January, 2025",تامين ديزل لمحطة بلدية محافظة رابغ ,39847.5
وزارة البلديات والإسكان,"1 January, 2025",عملية صيانة بوابة عسفان من الجهة الجنوبية ,498065.0
وزارة البلديات والإسكان,"1 January, 2025",عملية صيانة مجسم قلعة عسفان التاريخية التراثية الحديثة بعسفان,493580.0
وزارة الصحة,"1 January, 2025","2"" SUPERCEL FILM RAINBOW + THERMAL PAPER RELATED TO PACKAGING UNIT DOSE TABLETOP",99958.0
وزارة الصحة,"1 January, 2025",NEEDLE BOTOX ADJUST TIP 35CM ,27000.0
وزارة الثقافة,"1 January, 2025",خدمات التموين ومعدات الضيافة للمقر الرئيسي والفروع,558934.5
وزارة البلديات والإسكان,"1 January, 2025",اعمال الفلترة للنافورة التفاعلية لبلدية عسفان,496478.0
وزارة البلديات والإسكان,"1 January, 2025",صيانة واستبدال أعمدة ديكوريه للحديقة امام المركز الحضاري ببلدية عسفان,197225.0
وزارة الاستثمار,"1 January, 2025",تأهيل مبنى كيرف لتشغيل خدمة الانترنت  ,483000.0
وزارة البلديات والإسكان,"1 January, 2025",صيانة الطبقة الاسفلتية لمعالجة التشوهات البصرية لبلدية الدليميه ,2691000.0
وزارة التعليم,"1 January, 2025",منافسة تطوير وصيانة نظام إدارة ومتابعة المعاملات,1799999.83
وزارة البلديات والإسكان,"1 January, 2025",توريد مواد بناء لبلدية جلاجل,450800.0
وزارة البلديات والإسكان,"1 January, 2025",مشروع إعادة تأهيل شوارع تجميعية بحي أحد بالدمام ,17986115.0
وزارة السياحة,"1 January, 2025",Media Library Management,1868964.27
وزارة الصحة,"1 January, 2025",م الملك سلمان اكفان ,99360.0
البيئة والمياه والزراعة,"1 January, 2025",دراسة وتصميم عدد 6 مرافئ صيد ( المزروعية الفريع منيفة البرك بيش السلطانية ),14503867.68
وزارة البلديات والإسكان,"1 January, 2025",طلب تامين ديزل,33200.0
وزارة البلديات والإسكان,"1 January, 2025",طلب تامين بنزين 91,43400.0
وزارة الموارد البشرية والتنمية الاجتماعية,"1 January, 2025",تجديد رخص لجدران الحماية النارية,71753.1
وزارة البلديات والإسكان,"1 January, 2025",توريد محروقات ديزل وبنزين 91 لبلدية الدليميه ,845200.0
وزارة البلديات والإسكان,"1 January, 2025",تأمين محروقات ديزل لبلدية محافظة عيون الجواء,97385.22
وزارة البيئة والمياه والزراعة,"1 January, 2025",تأمين حامل كنفس خشبي واستيكر شفاف مع قص اكريلك ,6923.0
وزارة الصحة,"1 January, 2025",كسح مياه الصرف الصحي لمستشفيات (صبياء - بني مالك – العيدابي – فيفا),99705.0
وزارة السياحة,"1 January, 2025",تقديم خدمات استشارية لدعم استعداد وزارة السياحة لتمكين تجربة الزائر وتعزيز الكفاءة التشغيلية,1980000.0
وزارة التعليم,"1 January, 2025",توريد كتب ومراجع لعام 2025 لكلية التصاميم والفنون,98693.0
وزارة المالية,"1 January, 2025",تشغيل وصيانة أنظمة فحص الحاويات والمركبات بالأشعة السينية 2025 (المرحلة الرابعة) ,19318229.0
وزارة المالية,"1 January, 2025", تشغيل وصيانة أنظمة فحص السيارات والمركبات بالأشعة السينية 2025 ,21999868.0
وزارة الصحة,"1 January, 2025",317978_3173037_FLUCYTOSINE 500 MG CAPSULE_KFMC,69000.0
وزارة البلديات والإسكان,"1 January, 2025", تامين لفات روكلين,98250.0
وزارة الصحة,"1 January, 2025",4218190800500 SET SINGLE LEAD IRRIGATION,28000.0
وزارة السياحة,"1 January, 2025",تقديم خدمات استشارية لقياس ومعالجة الفجوات في المعروض السياحي,11250000.0
وزارة الصحة,"1 January, 2025",QUALIBRA ADVANCE POST-OPERATIVE STERNUM BINDER FOR POST CARDIOTOMY PATIENTS DIFFERENT SIZES. (FOR FEMALES),225000.0
وزارة الصحة,"1 January, 2025",QUALIBREATH POST-OPERATIVE STERNUM BINDER FOR POST CARDIOTOMY PATIENTS DIFFERENT SIZES. (FOR MALE),150000.0
وزارة الصحة,"1 January, 2025",11-VOLT LITHIUM-ION BACKUP BATTERY,99360.0
وزارة الصحة,"1 January, 2025",14-VOLT LITHIUM-LON BATTERY SET,205400.0
وزارة الصحة,"1 January, 2025",BATTERY CLIP SET,85800.0
وزارة الصحة,"1 January, 2025",HEARTMATE 3 LVAD SYSTEM CONTROLLER,82654.0
مكتب تحقيق الرؤية,"1 January, 2025",الخدمات الإستشارية للإشراف على أعمال تنفيذ مرافق مركز رياضي النخبة بالمنطقة الشرقية بالدمام,0.0
وزارة الصحة,"1 January, 2025",MOBILE POWER UNIT (MPU),78650.0
وزارة الصحة,"1 January, 2025",UNIVERSAL BATTERY CHARGER (UBC ),78650.0
وزارة الصحة,"1 January, 2025",CONSOLIDATED BAG,98000.0
وزارة الصحة,"1 January, 2025","NEEDLELESS IV ACCESS WITH SOLID SEAL SURFACE, ZERO-REFLUX TECHNOLOGY – STANDALONE.",32500.0
وزارة الصحة,"1 January, 2025","4229514310000 FILTER, ELECTROSURGERY CHARCOAL FILTER, TO REMOVE VERY SMALL PARTICLE, IN SMOKE EVACUATION, CAPTURE SMALL, AND ELIMINATES SMOKE PARTICLES AND ODOR, NON-STERILE",29950.0
وزارة الصحة,"1 January, 2025","4229516800300 FILTER, ELECTROSURGERY SMOKE EVACUATOR FILTER, 2-4 STAGES, ULPA FILTER TECHNOLOGY, THREE CONVENIENT PORTS, NO ADAPTORS NEEDED, PORT SIZE: 6 MM (1/4 IN.), 10 MM (3/8 IN.), 22 MM (7/8 IN.), 25 HOURS OF ACTIVATION TIME",90765.0
وزارة الصحة,"1 January, 2025",DURAL GRAFT MATRIX 3X3INCHES,298120.0
وزارة الصحة,"1 January, 2025",MODULE IRRIGATION TUBING,92210.0
وزارة الصحة,"1 January, 2025","LAPAROSCOPY CHOLECYSTECTOMY PACK, SINGLE USE , STERILE",129000.0
وزارة الصحة,"1 January, 2025","STOCKINETTE 20CMX20M, PLAIN",16000.0
وزارة المالية,"1 January, 2025",تأمين الحراسات الأمنية للمقرات الرئيسية والمدن السكنية والمكاتب الإدارية بالمنافذ والفروع في عدة مواقع في انحاء المملكة العربية السعودية ,35387243.4
وزارة الصحة,"1 January, 2025",منافسة تأمين احتياج محروقات لمركبات منفذ الوديعة والمراكز التابعة لها ADR-38,497230.0
وزارة التعليم,"2 January, 2025",تأمين رصيد نقاط لبرنامج مقيم مع تجديد الإشتراك للجامعة.,63630.65
وزارة الصحة,"2 January, 2025","4219170473300 PIN-INDEX CYLINDER ALUMINUM (E-SIZE) WITH CYLINDER VALVE FILLED WITH OXYGEN, SIZE E PIN INDEX",87400.0
وزارة البلديات والإسكان,"2 January, 2025",صيانة شيول كتلبيلر 950 وقلاب مان ,0.0
وزارة البلديات والإسكان,"2 January, 2025",توريد كابلات  ,387780.0
وزارة البلديات والإسكان,"2 January, 2025",توريد انجيله صناعية لبلدية الدليميه,492000.0
وزارة البيئة والمياه والزراعة,"2 January, 2025",إرساليات شحنات وطرود وأجهزة حسب البيان المرفق ‏وحسب الاحتياج ,29900.0
وزارة البلديات والإسكان,"2 January, 2025",طلب تامين مواد الاستعداد للاحتفال بالمناسبات الوطنية للبلدية ,99360.0
وزارة البلديات والإسكان,"2 January, 2025",مشروع إعادة تأهيل شوارع تجميعية بحي الشعلة بالدمام ,20579997.5
المؤسسة العامة للموانئ,"2 January, 2025",استئجار خيمة مجهزة بميناء جدة الإسلامي,393875.0
هيئة تطوير منطقة عسير,"2 January, 2025",توفير اثاث لمبنى الهيئة 231,99107.0
وزارة التعليم,"2 January, 2025",توريد وتركيب تظليل مبنى كلية التمرض والعلوم الصحية ( شطر الطالبات ) ,90505.0
وزارة التعليم,"2 January, 2025",مراجعة الحسابات البنكية للجامعة والحساب الختامي لعام 2025م,148350.0
وزارة البلديات والإسكان,"2 January, 2025",توريد أشجار لبلدية الفوارة,498750.0
وزارة البلديات والإسكان,"2 January, 2025",توريد استاندات لبلدية الفوارة,98400.0
وزارة الصحة,"2 January, 2025",برامج التواصل الداخلي,29325.0
وزارة الطاقة والصناعة والثروة المعدنية,"2 January, 2025",فك وترحيل وتوريد وتركيب سجاد المصليات,40250.0
البيئة والمياه والزراعة,"2 January, 2025",توفير وزراعة زهور حولية بمدينة الرياض,499330.0
وزارة الرياضة,"2 January, 2025",صيانة ونظافة وتشغيل الساحة الرياضية في حفر الباطن,1911796.8
وزارة البلديات والإسكان,"2 January, 2025",تامين مواد ضيافة للمشرف العام على مكتب الامين,36483.75
وزارة الرياضة,"2 January, 2025",صيانة ونظافة وتشغيل مكتب وزارة الرياضة بمحافظة شقراء,674913.84
وزارة البلديات والإسكان,"2 January, 2025",مشروع إعادة تأهيل شوارع تجميعية بحي بدر بالدمام ,17916557.25
وزارة البلديات والإسكان,"2 January, 2025",زيارة فريق العمل من قبل هيئة كفاءة الانفاق وفريق الوزارة,4500.0
الهيئة الملكية للجبيل وينبع,"2 January, 2025",خطة التدريب الخارجي للمعلمين ,2242500.0
وزارة البلديات والإسكان,"2 January, 2025",تأمين وتوريد خلطة اسفلت لاعمال الصيانة ببلدية الزلفي,0.0
وزارة البلديات والإسكان,"2 January, 2025",تأمين وتوريد اسمنت ورمل وبحص وخرسانة لاعمال الصيانة ببلدية الزلفي,606625.0
وزارة البلديات والإسكان,"2 January, 2025",لوحات اعلامية ,34655.25
وزارة البلديات والإسكان,"2 January, 2025",إزالة ونقل وطمر المخلفات من المواقع السكنية بمحافظة الزلفي,707250.0
وزارة البلديات والإسكان,"2 January, 2025",صيانة واعادة تالف سور مقبرة علقة بمحافظة الزلفي,54912.5
وزارة الرياضة,"2 January, 2025",استبدال أرضية الصالة الرياضية بمدينة الأمير محمد بن عبدالعزيز الرياضية بالمدينة المنورة,821847.5
هيئة تقويم التعليم,"2 January, 2025",مشروع دعم تجهيز اختبارات الوطنية ,94587.5
وزارة البلديات والإسكان,"2 January, 2025",استئجار وتشغيل وايتات شفط مياه الصرف الصحي بالكورنيش,98566.5
وزارة البلديات والإسكان,"2 January, 2025",تأمين حديد لبلدية محافظة رياض الخبراء.,498387.0
وزارة البلديات والإسكان,"2 January, 2025",خرط هوبات وكبس ليات لبلدية محافظة رياض الخبراء.,498500.0
البيئة والمياه والزراعة,"2 January, 2025",توريد قطع غيار مانعات تسرب للهيئة السعودية للمياه منظومة انتاج ينبع الساحل الغربي,31257.0
وزارة الصحة,"2 January, 2025",منافسة تنجيد مركبات الإدارات التابعة لتجمع نجران الصحي ADR-2025-1,499330.0
وزارة الصحة,"2 January, 2025",منافسة تأمين احتياج كفرات للإسعافات وسيارات خدمية التابعة لتجمع نجران الصحي ADR-2025-2,499215.0
البيئة والمياه والزراعة,"2 January, 2025","توريد مواد كيماوية (R-410A - R134A,HYDRO FLUORO CARBON) لمنظومة انتاج المياه الشعيبة بالساحل الغربي",66918.5
البيئة والمياه والزراعة,"2 January, 2025",تصميم وتنفيذ جناح  المركز الوطني للنخيل والتمور في مهرجان الخرج للتمور والقهوة,0.0
وزارة الصحة,"2 January, 2025",منافسة تأمين وتوريد محروقات للمراكز الخارجية التابعة لتجمع نجران الصحي ADR-2025-4,487186.0
وزارة الصحة,"2 January, 2025",منافسة تأمين وتوريد قطع غيار لمركبات مستشفيات المحافظات الشمالية ADR-2025-5,499445.0
وزارة السياحة,"2 January, 2025",تقديم خدمات الحراسات الأمنية لمقر الهيئة الرئيسي في مدينة الرياض,1533042.0
وزارة السياحة,"2 January, 2025",تقديم خدمات النظافة لمقر الهيئة السعودية للبحر الأحمر في مدينة الرياض,99959.15
وزارة البلديات والإسكان,"2 January, 2025",عملية صيانة وتاهيل ارصفة الطريق ببلدية عسفان,193200.0
وزارة البلديات والإسكان,"2 January, 2025",حفر آبار بحفر الباطن,4998820.0
وزارة التعليم,"2 January, 2025",توريد وتركيب متطلبات الدفاع المدني بمبنى كلية الأسياح ,234922.0
وزارة الإعلام,"2 January, 2025",تأمين أدوات ومساحيق التجميل,99360.0
وزارة البلديات والإسكان,"2 January, 2025",تأمين بنرات وتصاميم لبلدية محافظة رياض الخبراء.,492500.0
وزارة البلديات والإسكان,"2 January, 2025",صيانة قاعة الاجتماعات بمبنى  بلدية محافظة الجموم,97708.6
البيئة والمياه والزراعة,"2 January, 2025","توريد دهانات واصباغ ( PRIMER,PAINT) لمنظومة انتاج الشعيبة بالساحل الغربي",2539.2
البيئة والمياه والزراعة,"2 January, 2025","توريد مواد ( رمل - SAND  TYPE : WASHED,HEATED AND DRIED) لمنظومة انتاج فرسان بالساحل الغربي",82800.0
البيئة والمياه والزراعة,"2 January, 2025",توريد مواد كيميائية (NAME : COLILERT-18 / NAME : HPC QUANTI-TRAY / NAME : ARCTON-22/R-22/FREON-22) لمنظومة انتاج جدة بالساحل الغربي,33695.0
البيئة والمياه والزراعة,"2 January, 2025",توريد مكتب مدير,3468.4
وزارة التجارة ,"2 January, 2025",إقامة وتنظيم فعاليات المركز الوطني للتنافسية (محليًا ودوليًا) لتعزيز تنافسية المملكة,16782525.0
وزارة الصحة,"2 January, 2025",منافسة تأمين مستلزمات طبية لقسم العناية المركزة أطفال بمستشفى الولادة والأطفال بتجمع نجران الصحي,499650.0
وزارة الصحة,"2 January, 2025",LEATHER INNER SHIELD WITH LOGO PRINTED,78200.0
مشروع المملكة للإفادة من الهدي والأضاحي,"2 January, 2025",مشروع التشغيل والصيانة والنظافة 2025-2028,11997235.74
مكتب تحقيق الرؤية,"2 January, 2025",تقرير دراسة اقتصادية للقطاع غير الربحي,0.0
وزارة البلديات والإسكان,"2 January, 2025",صيانةوتنظيف  ابار ارتوازية بمحافظة ثار,97980.0
مكتب تحقيق الرؤية,"3 January, 2025",التجهيز التقني للقاعة الكبرى في المحكمة العليا ,0.0
وزارة البلديات والإسكان,"3 January, 2025",إقامة احتفال وفعاليات,498709.0
وزارة البلديات والإسكان,"3 January, 2025",إعداد دراسات للأحوزة العمرانية الدائمة بمحافظة سميراء وقراها,493350.0
وزارة البلديات والإسكان,"3 January, 2025",توريد زيوت وسائط نقل بلدية محافظة ثار ,75037.5
وزارة البلديات والإسكان,"4 January, 2025",منافسة أعمال ترحيل وطمر النفايات وتسوية الطرق والساحات بإزالة الرمال بمردم البلدية,99705.0
وزارة البلديات والإسكان,"4 January, 2025",منافسة تأمين وتوريد عشب طبيعي وسماد عضوي طبيعي للمسطحات الخضراء التابعة لبلدية عريعرة,99475.0
وزارة البلديات والإسكان,"4 January, 2025",منافسة تأمين وتوريد أغراض ومستلزمات الإنارة والكهرباء لأعمال الصيانة الدورية,99843.0
وزارة البلديات والإسكان,"4 January, 2025",منافسة تأمين وتوريد أغراض ومستلزمات السلامة للمباني التابعة لبلدية عريعرة,85974.0
وزارة البيئة والمياه والزراعة,"5 January, 2025",عقد صيانة أنظمة مكافحة الحرائق وأنظمة الوقاية من الحرائق للمؤسسة العامة للري لفروعها الخارجية,391000.0
وزارة البيئة والمياه والزراعة,"5 January, 2025",تقديم خدمة غسيل وتنشيف الخارجي والداخلي المركبات العاملة بالمقر الرئيسي بالمؤسسة ,1799175.0
وزارة البلديات والإسكان,"5 January, 2025",توريد محروقات 1,88800.0
وزارة النقل,"5 January, 2025",تشغيل وصيانة مبنى فرع الوزارة بمنطقة جازان لمدة ثلاث سنوات ,1317134.96
وزارة التعليم,"5 January, 2025",تجهيز استراحة ياهلا 2 1446ه,264902.5
وزارة النقل,"5 January, 2025",تأمين اعلام بشعار الوزارة  مع الساريات بمبنى الوزارة الرئيسي,28290.0
البيئة والمياه والزراعة,"5 January, 2025",تركيب مأخذ عينة لخط الغاز بمنظومة انتاج الخبر 3 ,49979.0
وزارة التعليم,"5 January, 2025",منافسة توريد وتركيب بوابات الكترونية بمجمع عيادات طب الاسنان,90068.0
وزارة البلديات والإسكان,"5 January, 2025",اعمال صيانه الحدائق والمزروعات  بحوطة سدير ,298453.75
المؤسسة العامة لجسر الملك فهد ,"5 January, 2025",رفع التميز التشغيلي للمشتريات,4878236.7
وزارة البلديات والإسكان,"5 January, 2025",تأمين مواد كهرب لبلدية محافظة رياض الخبراء.,498525.0
وزارة البلديات والإسكان,"5 January, 2025",تجديد الاشتراك ببرنامج تم ومقيم لبلدية محافظة ضرية,16502.5
وزارة البلديات والإسكان,"5 January, 2025",تجهيز وتنفيذ وتشغيل إحتفال أهالي منطقة القصيم بمناسبة عيد الفطر 1446,980490.0
هيئة تطوير منطقة المدينة المنورة,"5 January, 2025",تجديد شهادة الايزو 200002018 لنظام إدارة الخدمات الفنية بتقنية المعلومات,57500.0
وزارة الاستثمار,"5 January, 2025",توفير صور القادة لمقرات وزارة الاستثمار,29463.0
وزارة البلديات والإسكان,"5 January, 2025",تأمين أكياس نفايات ,46000.0
وزارة البلديات والإسكان,"5 January, 2025",نقل عامل متوفي الى بلده ,23920.0
وزارة البلديات والإسكان,"5 January, 2025",تأمين بنزين لمحطة البلدية 1 2025,80187.6
وزارة البلديات والإسكان,"5 January, 2025",تأمين ديزل لمحطة البلدية 1-2025,63620.0
وزارة البلديات والإسكان,"5 January, 2025",اعمال صيانة الشوارع و الارصفة والانارة بحوطة سدير والمراكز التابعه لخدماتها ,498065.0
وزارة البلديات والإسكان,"5 January, 2025",دراسات لمخططات الامن والسلامة لمرافق بلدية جلاجل,43125.0
وزارة البلديات والإسكان,"5 January, 2025",اعمال صيانة الشوارع ولارصفة ولاناره بحوطة سدير  ,498007.5
وزارة البلديات والإسكان,"5 January, 2025",توريد وتركيب لصيانة ممشى الظاهرية القائم ,495371.700000001
وزارة البلديات والإسكان,"5 January, 2025",انشاء وصيانة سور جمالي قائم بمركز الظاهرية ,498582.5
وزارة البلديات والإسكان,"5 January, 2025",اشتراك في منصة الاستقطاب ,96600.0
وزارة البلديات والإسكان,"5 January, 2025",صيانة وتاهيل المستهدفات الحضرية بمحافظة الجبيل,3294257.8
وزارة البلديات والإسكان,"5 January, 2025",تامين القطع واصلاح سيارة جيب فورتشنر موديل 2020 د ط م 1726,5000.0
مكتب تحقيق الرؤية,"5 January, 2025",تسويق مشاريع الاستثمار الاجتماعي ,0.0
وزارة التعليم,"5 January, 2025",تطوير وترقية نظام الموارد الحكومية ERP,2875000.0
هيئة الهلال الأحمر السعودي,"5 January, 2025",التشغيل والصيانة للمراكز الاسعافية والمباني الادارية بالمشاعر المقدسة بمكة المكرمة لموسم الحج عام 1446 هـ,3348037.67
وزارة الاستثمار,"5 January, 2025",توفير اعلام داخلية وخارجية,29900.0
وزارة التجارة ,"5 January, 2025",توريد جهاز لوحي وملحقاته ,12380.0
البيئة والمياه والزراعة,"5 January, 2025",تقديم الخدمات الاستشارية للأمن السيبراني  للحوسبة السحابية ,3544852.0
وزارة البلديات والإسكان,"5 January, 2025",صيانة الشوارع بنطاق بلدية الصفراء الفرعية بمدينة بريدة,16888138.7
وزارة البلديات والإسكان,"5 January, 2025", مشروع صيانة الشوارع بنطاق بلدية غرب بريدة الفرعية,17798987.0
وزارة الاستثمار,"5 January, 2025",نظام إدارة الهوية والوصول,2661987.8
البيئة والمياه والزراعة,"5 January, 2025",توريد ديزل لمنظومة إنتاج رأس الخير الساحل الشرقي 60016624,99268.0
البيئة والمياه والزراعة,"5 January, 2025",توريد بنزين 91 لمنظومة إنتاج رأس الخير الساحل الشرقي 60016625,99820.0
البيئة والمياه والزراعة,"5 January, 2025",طباعة كتيب الدليل الإرشادي الزراعي بعدة لغات مختلفة,99992.5
وزارة البلديات والإسكان,"5 January, 2025",تامين بنزين 91,96857.6
البيئة والمياه والزراعة,"5 January, 2025",توريد مواد سباكة وكهرباء لصيانة مباني المركز الوطني لتنمية الحياة الفطرية,94949.75
وزارة النقل,"5 January, 2025",توريد وتركيب اجهزة انذار لمكتب فرع الوزارة بمحافظة الخرمة,10074.0
وزارة الإعلام,"5 January, 2025",خدمات استشارية لإعداد خطة التحول الرقمي وتعزيز استخدامات البيانات والذكاء الاصطناعي,828000.0
وزارة التعليم,"5 January, 2025",برنامج رفع القدرات المهنية في الإدارة العامة للوعي الفكري,44850.0
وزارة النقل,"5 January, 2025",استبدال إطارات لسيارة معالي نائب وزير النقل والخدمات اللوجستية,16110.0
الهيئة العامة للغذاء والدواء,"5 January, 2025",تأمين سكن ومواصلات معالي الرئيس والوفد المرافق إلى مدينة جدة,36604.5
وزارة التعليم,"5 January, 2025",مشروع مكافحة آفات الصحة العامة بالمدينة الجامعية,1379719.4
وزارة البلديات والإسكان,"5 January, 2025",تجديد خدمات اشتراك منصة (مقيم),7590.0
وزارة البلديات والإسكان,"5 January, 2025",عملية استئجار سيارة لوزم بلدية بئر عسكر ,14724.6
وزارة الصحة,"5 January, 2025",تأمين CUP PAPER HOT/COLD 8 OZ WITH KKESH LOGO,61755.0
وزارة المالية,"5 January, 2025",تقييم الوضع الحالي والاحتياج المستقبلي لكاميرات المراقبة الامنية  في المنافذ,2398175.5
وزارة الخدمة المدنية,"5 January, 2025",توريد توزيعات لمنسوبي المعهد بمناسبة يوم التأسيس السعودي 2025م,93840.0
البيئة والمياه والزراعة,"5 January, 2025",تأمين لوحات إرشادية لأسواق النفع العام والمسالخ التابعة لمكتب الوزارة بمحافظة الدلم,23302.0
وزارة البلديات والإسكان,"5 January, 2025",تـوريـد زيـوت وشحوم لمعدات بلديــة محافظــة بدرالجنــوب,49956.0
وزارة البلديات والإسكان,"5 January, 2025",توريد أعمده إنارة لأعمال الصيانة ,99360.0
وزارة البيئة والمياه والزراعة,"6 January, 2025",  ‏فحص واصلاح مضخة مع تركيب القطع اللازمة ‏وإرجاعها إلى حالتها الأصلية ‏,65814.5
البيئة والمياه والزراعة,"6 January, 2025",معالجة التربة من الزيت الثقيل بمنظومة إنتاج الجبيل,95795.0
وزارة البلديات والإسكان,"6 January, 2025",عملية صيانة أشياب  المياه لزوم بلدية بئر عسكر,60720.0
وزارة الصحة,"6 January, 2025","4231220135100 191012910 BRAIDED POLYESTER SUTURE COATED WITH SILICON OR POLYBUTYLATE , SIZE 2/0 MULTIFILAMENT 3 METRIC , 10 X 75 CM , 25-26 MM TAPERCUT DOUBLE ARMED HALF CIRCLE NEEDLE , ( BLUE/GREEN & WHITE ) STERILE .",88200.0
وزارة الصحة,"6 January, 2025","NEEDLELESS IV ACCESS WITH SOLID SEAL SURFACE, ZERO-REFLUX TECHNOLOGY - 1-WAY EXTENSION SET 17 CM.",135000.0
وزارة البلديات والإسكان,"6 January, 2025",عملية توريد ليات زينة لزوم بلدية بئر عسكر ,85215.0
وزارة الموارد البشرية والتنمية الاجتماعية,"6 January, 2025",استئجار سيارات مع السائقين والمشرفين والمشرفات للنقل المدرسي لبعض فروع الوزارة الايوائية للأيتام ( المجموعة الثالثة منطقة : الشرقية / عسير ),3509110.0
وزارة الصحة,"6 January, 2025","TUBING SET, IRRIGATION, FLOW CONTINUES , STERILE, SINGLE USE TUBES",98440.0
وزارة الصحة,"6 January, 2025","TIP, DUAL FILTER, 100 UL, PCR CLEAN, STERILE, ADJUSTABLE VOLUME, AND MULTI CHANNEL PIPETTEES ,WITH BASE OF 96EACH, BX/960",96772.5
وزارة الصحة,"6 January, 2025","4229161307300 BLADE, INFERIOR TURBINATE NASAL BLADE 2MM ROTATABLE, OR EQUIVALENT",7575.0
وزارة البلديات والإسكان,"6 January, 2025",عملية صيانة وتوريد قطع غيار لسيارات البلدية ,29670.0
وزارة الصحة,"6 January, 2025",حجز قاعة لإقامة ورشة عمل لإدارة التغيير لمدة يومين خارج المملكة (دول الخليج).,97750.0
وزارة البلديات والإسكان,"6 January, 2025",عملية صيانة وتوريد زيوت وشحوم لمعدات البلدية,86135.0
وزارة الصحة,"6 January, 2025",معايرة أجهزة الكواشف الإشعاعية بتجمع جدة الصحي الثاني,27657.5
وزارة البلديات والإسكان,"6 January, 2025",مشروع تنفيذ أنسنة المجاورات السكنية,192671267.949999
البيئة والمياه والزراعة,"6 January, 2025",توريد مشتقات بترولية لمنظومة انتاج رأس الخير 60016601,199525.0
البيئة والمياه والزراعة,"6 January, 2025",توريد مواد كيماوية لمنظومة انتاج الجبيل 60016602,7866.0
البيئة والمياه والزراعة,"6 January, 2025",توريد حاملة بضائع ( PALLET )  لمظومة انتاج الخبر 60016603,21562.5
وزارة البلديات والإسكان,"6 January, 2025",توريد ديزل لسيارات النظافة ببلدية الخبراء ,34050.0
البيئة والمياه والزراعة,"6 January, 2025",توريد حاملة لرفع المواد لمنظمومة انتاج رأس الخير 60016606,9890.0
البيئة والمياه والزراعة,"6 January, 2025",توريد قطع  غيار لمنظومة انتاج الخفجي 60016608,11384.77
البيئة والمياه والزراعة,"6 January, 2025",توريد قفازات صناعية لمنظومة انتاج الخفجي 60016609,4600.0
وزارة الصحة,"6 January, 2025",تامين مستلزمات الخبير الزائر,29969.0
البيئة والمياه والزراعة,"6 January, 2025",توريد قطع غيار تكييف لمنظومة انتاج رأس الخير 60016600,34824.3
