الجهة الرئيسية,اسم المنافسة,تاريخ الترسية,قيمة الترسية
وزارة الشؤون البلدية والقروية,تنفيذ جسر لتقاطع طريق عسفان مع طريق المحور الشرقي - 17138,2024-01-02,88598126.3500002
وزارة الشؤون البلدية والقروية,تنفيذ جسر لتقاطع طريق عسفان مع طريق المحور الشرقي - 17138,2024-01-02,88598126.3500002
وزارة الشؤون البلدية والقروية,تنفيذ جسر لتقاطع طريق عسفان مع طريق المحور الشرقي - 17138,2024-01-02,88598126.3500002
وزارة الشؤون البلدية والقروية,تنفيذ جسر لتقاطع طريق عسفان مع طريق المحور الشرقي - 17138,2024-01-02,88598126.3500002
وزارة الشؤون البلدية والقروية,تنفيذ جسر لتقاطع طريق عسفان مع طريق المحور الشرقي - 17138,2024-01-02,88598126.3500002
وزارة الشؤون البلدية والقروية,تنفيذ جسر لتقاطع طريق عسفان مع طريق المحور الشرقي - 17138,2024-01-02,88598126.3500002
وزارة الشؤون البلدية والقروية,تنفيذ جسر لتقاطع طريق عسفان مع طريق المحور الشرقي - 17138,2024-01-02,88598126.3500002
وزارة الشؤون البلدية والقروية,تنفيذ جسر لتقاطع طريق عسفان مع طريق المحور الشرقي - 17138,2024-01-02,88598126.3500002
وزارة الشؤون البلدية والقروية,تنفيذ جسر لتقاطع طريق عسفان مع طريق المحور الشرقي - 17138,2024-01-02,88598126.3500002
وزارة الشؤون البلدية والقروية,إنشاء حديقة نوعية شرق جدة  بحي الرحمانية  - 17175,2024-02-18,34857939.0999999
وزارة الشؤون البلدية والقروية,إنشاء حديقة نوعية شرق جدة  بحي الرحمانية  - 17175,2024-02-18,34857939.0999999
وزارة الشؤون البلدية والقروية,إنشاء حديقة نوعية شرق جدة  بحي الرحمانية  - 17175,2024-02-18,34857939.0999999
وزارة الشؤون البلدية والقروية,انشاء حديقة نوعية بمخطط الصفا بمدينة جدة - 17174 ,2024-02-18,35256431.0
وزارة الشؤون البلدية والقروية,انشاء حديقة نوعية بحي النزهة بمدينة جدة - 17173 ,2024-02-07,34942904.1
وزارة الشؤون البلدية والقروية,انشاء حديقة نوعية بحي النزهة بمدينة جدة - 17173 ,2024-02-07,34942904.1
