Date,Forecasted_Amount
2025-07-26,97.88179473145473
2025-07-27,100.27499859456809
2025-07-28,100.60087494618317
2025-07-29,100.50838344371017
2025-07-30,100.60209287386475
2025-07-31,100.52310090733258
2025-08-01,100.59074350342176
2025-08-02,100.53290375755346
2025-08-03,100.5823678882232
2025-08-04,100.5400670403787
2025-08-05,100.576242016328
2025-08-06,100.54530578651737
2025-08-07,100.57176192916378
2025-08-08,100.54913708161757
2025-08-09,100.56848547013253
2025-08-10,100.55193905419057
2025-08-11,100.56608927038624
2025-08-12,100.55398824385055
2025-08-13,100.56433683790684
2025-08-14,100.55548689458792
2025-08-15,100.56305521704043
2025-08-16,100.55658291516447
2025-08-17,100.56211791870541
2025-08-18,100.55738447691216
2025-08-19,100.56143243660077
2025-08-20,100.55797068966136
2025-08-21,100.56093111733217
2025-08-22,100.55839940945535
2025-08-23,100.56056448338599
2025-08-24,100.55871294863033
