Date,Forecasted_Amount
2025-07-26,96.645645
2025-07-27,97.243126
2025-07-28,97.68784
2025-07-29,97.92647
2025-07-30,97.973335
2025-07-31,97.88929
2025-08-01,97.755264
2025-08-02,97.64956
2025-08-03,97.632126
2025-08-04,97.73661
2025-08-05,97.96968
2025-08-06,98.31518
2025-08-07,98.741486
2025-08-08,99.20943
2025-08-09,99.67945
2025-08-10,100.11687
2025-08-11,100.49516
2025-08-12,100.79727
2025-08-13,101.01525
2025-08-14,101.149
2025-08-15,101.2044
2025-08-16,101.19129
2025-08-17,101.12159
2025-08-18,101.00772
2025-08-19,100.86139
2025-08-20,100.69293
2025-08-21,100.51083
2025-08-22,100.32173
2025-08-23,100.13054
2025-08-24,99.94078
