Date,Forecasted_Amount
2025-07-26,92.473595
2025-07-27,92.3659
2025-07-28,92.24652
2025-07-29,92.135185
2025-07-30,92.04558
2025-07-31,91.98448
2025-08-01,91.95301
2025-08-02,91.94835
2025-08-03,91.965454
2025-08-04,91.99847
2025-08-05,92.04169
2025-08-06,92.09022
2025-08-07,92.14003
2025-08-08,92.1883
2025-08-09,92.23309
2025-08-10,92.273254
2025-08-11,92.30835
2025-08-12,92.33838
2025-08-13,92.36358
2025-08-14,92.38442
2025-08-15,92.40148
2025-08-16,92.4153
2025-08-17,92.42645
2025-08-18,92.43541
2025-08-19,92.442604
2025-08-20,92.448395
2025-08-21,92.4531
2025-08-22,92.456955
2025-08-23,92.46014
2025-08-24,92.46279
