Date,Forecasted_Amount
2025-07-26,95.02013078901575
2025-07-27,98.70398665318756
2025-07-28,93.54737294843218
2025-07-29,98.59105873881855
2025-07-30,93.72523081860959
2025-07-31,98.41648267340842
2025-08-01,93.89367792893081
2025-08-02,98.25407788127218
2025-08-03,94.05025136507174
2025-08-04,98.10312667880686
2025-08-05,94.19578220513189
2025-08-06,97.9628215670676
2025-08-07,94.33104923422744
2025-08-08,97.83241171290499
2025-08-09,94.45677632512626
2025-08-10,97.71119923638332
2025-08-11,94.57363629825917
2025-08-12,97.59853547673988
2025-08-13,94.6822545222473
2025-08-14,97.4938175211198
2025-08-15,94.78321226052195
2025-08-16,97.39648497812678
2025-08-17,94.87704978191843
2025-08-18,97.30601697892465
2025-08-19,94.9642692518899
2025-08-20,97.22192938984126
2025-08-21,95.0453374198135
2025-08-22,97.1437722215584
2025-08-23,95.12068811676959
2025-08-24,97.07112722102282
