Date,Forecasted_Amount
2025-07-26,96.285255
2025-07-27,96.18028
2025-07-28,96.06676
2025-07-29,95.96641
2025-07-30,95.89446
2025-07-31,95.85825
2025-08-01,95.858604
2025-08-02,95.89155
2025-08-03,95.95056
2025-08-04,96.02805
2025-08-05,96.11663
2025-08-06,96.20988
2025-08-07,96.30257
2025-08-08,96.39093
2025-08-09,96.472466
2025-08-10,96.545746
2025-08-11,96.61017
2025-08-12,96.66583
2025-08-13,96.713234
2025-08-14,96.7531
2025-08-15,96.78635
2025-08-16,96.813835
2025-08-17,96.836464
2025-08-18,96.855034
2025-08-19,96.87024
2025-08-20,96.882706
2025-08-21,96.89295
2025-08-22,96.90137
2025-08-23,96.90833
2025-08-24,96.91409
