Date,Forecasted_Amount
2025-07-26,93.240204
2025-07-27,92.41715
2025-07-28,91.88026
2025-07-29,91.713646
2025-07-30,91.881744
2025-07-31,92.28994
2025-08-01,92.83023
2025-08-02,93.40714
2025-08-03,93.94855
2025-08-04,94.40673
2025-08-05,94.75549
2025-08-06,94.98555
2025-08-07,95.10001
2025-08-08,95.11065
2025-08-09,95.03463
2025-08-10,94.89212
2025-08-11,94.70414
2025-08-12,94.491104
2025-08-13,94.271416
2025-08-14,94.06068
2025-08-15,93.87113
2025-08-16,93.71143
2025-08-17,93.58666
2025-08-18,93.49871
2025-08-19,93.44668
2025-08-20,93.427444
2025-08-21,93.43629
2025-08-22,93.46755
2025-08-23,93.51515
2025-08-24,93.57311
