Date,Forecasted_Amount
2025-07-26,95.62015
2025-07-27,96.44697
2025-07-28,96.9893
2025-07-29,97.2153
2025-07-30,97.165955
2025-07-31,96.93081
2025-08-01,96.61894
2025-08-02,96.333694
2025-08-03,96.154305
2025-08-04,96.12611
2025-08-05,96.258606
2025-08-06,96.53012
2025-08-07,96.897026
2025-08-08,97.30454
2025-08-09,97.697136
2025-08-10,98.02673
2025-08-11,98.2579
2025-08-12,98.36997
2025-08-13,98.35672
2025-08-14,98.2242
2025-08-15,97.98756
2025-08-16,97.667656
2025-08-17,97.28773
2025-08-18,96.87086
2025-08-19,96.43783
2025-08-20,96.00613
2025-08-21,95.58936
2025-08-22,95.19727
2025-08-23,94.83639
2025-08-24,94.5106
