Date,Forecasted_Amount
2025-07-26,98.64711
2025-07-27,98.52164
2025-07-28,98.38523
2025-07-29,98.26505
2025-07-30,98.181435
2025-07-31,98.14555
2025-08-01,98.160034
2025-08-02,98.221054
2025-08-03,98.320564
2025-08-04,98.44856
2025-08-05,98.59474
2025-08-06,98.74959
2025-08-07,98.90519
2025-08-08,99.05541
2025-08-09,99.195946
2025-08-10,99.324165
2025-08-11,99.43871
2025-08-12,99.53938
2025-08-13,99.62664
2025-08-14,99.701454
2025-08-15,99.76514
2025-08-16,99.81902
2025-08-17,99.86451
2025-08-18,99.90293
2025-08-19,99.93536
2025-08-20,99.96287
2025-08-21,99.98633
2025-08-22,100.00641
2025-08-23,100.02375
2025-08-24,100.0388
