Date,Forecasted_Amount
2025-07-26,95.80707
2025-07-27,95.79855
2025-07-28,95.79405
2025-07-29,95.79468
2025-07-30,95.80003
2025-07-31,95.80877
2025-08-01,95.81933
2025-08-02,95.83021
2025-08-03,95.84028
2025-08-04,95.84878
2025-08-05,95.8553
2025-08-06,95.85974
2025-08-07,95.862236
2025-08-08,95.86303
2025-08-09,95.862434
2025-08-10,95.86081
2025-08-11,95.8585
2025-08-12,95.85579
2025-08-13,95.85293
2025-08-14,95.850105
2025-08-15,95.847466
2025-08-16,95.84509
2025-08-17,95.84305
2025-08-18,95.84135
2025-08-19,95.84003
2025-08-20,95.83898
2025-08-21,95.838234
2025-08-22,95.837746
2025-08-23,95.83747
2025-08-24,95.83736
