Date,Forecasted_Amount
2025-07-26,89.854355
2025-07-27,89.77604
2025-07-28,89.68656
2025-07-29,89.59917
2025-07-30,89.52346
2025-07-31,89.46483
2025-08-01,89.42494
2025-08-02,89.40277
2025-08-03,89.3957
2025-08-04,89.40043
2025-08-05,89.41354
2025-08-06,89.43199
2025-08-07,89.453224
2025-08-08,89.475266
2025-08-09,89.49672
2025-08-10,89.51668
2025-08-11,89.53462
2025-08-12,89.550316
2025-08-13,89.56377
2025-08-14,89.57504
2025-08-15,89.584404
2025-08-16,89.59207
2025-08-17,89.59827
2025-08-18,89.60323
2025-08-19,89.60719
2025-08-20,89.610344
2025-08-21,89.61282
2025-08-22,89.61478
2025-08-23,89.61633
2025-08-24,89.61754
