Date,Forecasted_Amount
2025-07-26,98.81906
2025-07-27,98.718094
2025-07-28,98.614975
2025-07-29,98.52981
2025-07-30,98.475586
2025-07-31,98.457825
2025-08-01,98.47603
2025-08-02,98.52556
2025-08-03,98.59965
2025-08-04,98.69079
2025-08-05,98.79187
2025-08-06,98.89674
2025-08-07,99.00049
2025-08-08,99.09954
2025-08-09,99.191475
2025-08-10,99.27493
2025-08-11,99.34934
2025-08-12,99.414764
2025-08-13,99.471634
2025-08-14,99.52061
2025-08-15,99.56258
2025-08-16,99.59839
2025-08-17,99.628876
2025-08-18,99.65484
2025-08-19,99.676994
2025-08-20,99.695946
2025-08-21,99.71221
2025-08-22,99.72623
2025-08-23,99.73837
2025-08-24,99.748924
