Date,Forecasted_Amount
2025-07-26,95.40582074176052
2025-07-27,96.00029593566306
2025-07-28,98.41106404156773
2025-07-29,96.85736304035606
2025-07-30,99.65426424624664
2025-07-31,100.55271284698577
2025-08-01,95.84067154890434
2025-08-02,94.27003192435303
2025-08-03,96.03496786924295
2025-08-04,98.52982783532289
2025-08-05,96.90807057922731
2025-08-06,99.72410081620366
2025-08-07,100.63562508639826
2025-08-08,95.97327061105995
2025-08-09,94.29798244042992
2025-08-10,96.06640541516865
2025-08-11,98.56151590723523
2025-08-12,96.93955589833786
2025-08-13,99.75564312441318
2025-08-14,100.66720634956675
2025-08-15,96.00499990092396
2025-08-16,94.32939996194949
2025-08-17,96.09783332522741
2025-08-18,98.59294456365957
2025-08-19,96.97098395072221
2025-08-20,99.78707134657914
2025-08-21,100.6986346877871
2025-08-22,96.0364286801446
2025-08-23,94.36082781235167
2025-08-24,96.12926120657907
