Date,Forecasted_Amount
2025-07-26,97.06162375593632
2025-07-27,95.95726518907462
2025-07-28,95.99093590059265
2025-07-29,95.98990931661154
2025-07-30,95.98994061605913
2025-07-31,95.98993966177245
2025-08-01,95.98993969086763
2025-08-02,95.98993968998055
2025-08-03,95.98993969000759
2025-08-04,95.98993969000676
2025-08-05,95.98993969000679
2025-08-06,95.98993969000679
2025-08-07,95.98993969000679
2025-08-08,95.98993969000679
2025-08-09,95.98993969000679
2025-08-10,95.98993969000679
2025-08-11,95.98993969000679
2025-08-12,95.98993969000679
2025-08-13,95.98993969000679
2025-08-14,95.98993969000679
2025-08-15,95.98993969000679
2025-08-16,95.98993969000679
2025-08-17,95.98993969000679
2025-08-18,95.98993969000679
2025-08-19,95.98993969000679
2025-08-20,95.98993969000679
2025-08-21,95.98993969000679
2025-08-22,95.98993969000679
2025-08-23,95.98993969000679
2025-08-24,95.98993969000679
2025-08-25,95.98993969000679
2025-08-26,95.98993969000679
2025-08-27,95.98993969000679
2025-08-28,95.98993969000679
2025-08-29,95.98993969000679
2025-08-30,95.98993969000679
2025-08-31,95.98993969000679
2025-09-01,95.98993969000679
2025-09-02,95.98993969000679
2025-09-03,95.98993969000679
2025-09-04,95.98993969000679
2025-09-05,95.98993969000679
2025-09-06,95.98993969000679
2025-09-07,95.98993969000679
2025-09-08,95.98993969000679
2025-09-09,95.98993969000679
2025-09-10,95.98993969000679
2025-09-11,95.98993969000679
2025-09-12,95.98993969000679
2025-09-13,95.98993969000679
2025-09-14,95.98993969000679
2025-09-15,95.98993969000679
2025-09-16,95.98993969000679
2025-09-17,95.98993969000679
2025-09-18,95.98993969000679
2025-09-19,95.98993969000679
2025-09-20,95.98993969000679
2025-09-21,95.98993969000679
2025-09-22,95.98993969000679
2025-09-23,95.98993969000679
2025-09-24,95.98993969000679
2025-09-25,95.98993969000679
2025-09-26,95.98993969000679
2025-09-27,95.98993969000679
2025-09-28,95.98993969000679
2025-09-29,95.98993969000679
2025-09-30,95.98993969000679
2025-10-01,95.98993969000679
2025-10-02,95.98993969000679
2025-10-03,95.98993969000679
2025-10-04,95.98993969000679
2025-10-05,95.98993969000679
2025-10-06,95.98993969000679
2025-10-07,95.98993969000679
2025-10-08,95.98993969000679
2025-10-09,95.98993969000679
2025-10-10,95.98993969000679
2025-10-11,95.98993969000679
2025-10-12,95.98993969000679
2025-10-13,95.98993969000679
2025-10-14,95.98993969000679
2025-10-15,95.98993969000679
2025-10-16,95.98993969000679
2025-10-17,95.98993969000679
2025-10-18,95.98993969000679
2025-10-19,95.98993969000679
2025-10-20,95.98993969000679
2025-10-21,95.98993969000679
