Date,Forecasted_Amount
2025-07-26,98.78315
2025-07-27,98.66582
2025-07-28,98.62439
2025-07-29,98.622055
2025-07-30,98.63882
2025-07-31,98.66331
2025-08-01,98.68869
2025-08-02,98.71121
2025-08-03,98.72906
2025-08-04,98.7416
2025-08-05,98.748985
2025-08-06,98.75172
2025-08-07,98.75054
2025-08-08,98.74618
2025-08-09,98.7394
2025-08-10,98.73087
2025-08-11,98.721146
2025-08-12,98.71075
2025-08-13,98.70003
2025-08-14,98.68932
2025-08-15,98.67885
2025-08-16,98.66877
2025-08-17,98.65921
2025-08-18,98.65025
2025-08-19,98.64194
2025-08-20,98.634254
2025-08-21,98.627235
2025-08-22,98.620834
2025-08-23,98.615036
2025-08-24,98.60982
