Date,Forecasted_Amount
2025-07-26,103.149055
2025-07-27,103.04649
2025-07-28,102.94165
2025-07-29,102.85924
2025-07-30,102.81726
2025-07-31,102.824715
2025-08-01,102.88237
2025-08-02,102.98487
2025-08-03,103.12315
2025-08-04,103.28653
2025-08-05,103.46443
2025-08-06,103.64741
2025-08-07,103.82775
2025-08-08,103.999725
2025-08-09,104.15941
2025-08-10,104.3046
2025-08-11,104.434265
2025-08-12,104.54846
2025-08-13,104.64792
2025-08-14,104.73377
2025-08-15,104.80742
2025-08-16,104.870285
2025-08-17,104.92382
2025-08-18,104.96935
2025-08-19,105.0081
2025-08-20,105.0411
2025-08-21,105.06925
2025-08-22,105.093346
2025-08-23,105.11405
2025-08-24,105.131836
