Date,Forecasted_Amount
2025-07-26,91.54943
2025-07-27,91.45083
2025-07-28,91.332565
2025-07-29,91.2127
2025-07-30,91.106186
2025-07-31,91.02279
2025-08-01,90.96703
2025-08-02,90.93908
2025-08-03,90.93602
2025-08-04,90.953156
2025-08-05,90.98515
2025-08-06,91.02665
2025-08-07,91.073044
2025-08-08,91.120476
2025-08-09,91.16617
2025-08-10,91.20815
2025-08-11,91.24533
2025-08-12,91.27724
2025-08-13,91.30384
2025-08-14,91.32551
2025-08-15,91.34269
2025-08-16,91.35608
2025-08-17,91.36626
2025-08-18,91.37388
2025-08-19,91.37948
2025-08-20,91.38352
2025-08-21,91.38639
2025-08-22,91.38843
2025-08-23,91.38988
2025-08-24,91.39093
